grain,P_span_pre,P_span_post,P_span_retained,P_reach_pre,P_reach_post,P_reach_retained,P_largest_pre,P_largest_post,P_largest_retained,n_clusters_pre,n_clusters_post,n_clusters_ratio,P_pub_pre,P_pub_post,P_pub_retained
fine,0.983960328217581,0.668604276445648,0.6795032861302525,0.9864739436494633,0.8456903049141442,0.8572860037088363,0.983960328217581,0.668604276445648,0.6795032861302525,2526,3545,1.4034045922406968,0.985,0.809,0.8213197969543148
medium,0.9582613518431495,0.8190195855927983,0.8546933297659044,0.9692928511086017,0.9490044479175318,0.9790688612137542,0.9582613518431495,0.8190195855927983,0.8546933297659044,2774,1594,0.5746214852198991,0.965,0.884,0.9160621761658031
coarse,0.9315166801008394,0.8821139486780925,0.9469652745054452,0.9667708289052452,0.9105327740794776,0.9418289700678592,0.9315166801008394,0.8821139486780925,0.9469652745054452,1225,1949,1.5910204081632653,0.959,0.886,0.9238790406673619
