anode,roi,damage_seed,threshold,transition,flag,pristine_P_span,spec_surface,mincut_frac,n_nodes,n_edges,R_Ni_at_tr,vol_loss,tpb_pristine,tpb_at_tr
fine,0,300,0.5,10.5,ok,0.9821353349727162,0.15695885973774967,0.019583843329253364,468,817,0.0,0.5199212216861324,4.477372482319921,0.0017270112004834047
fine,0,300,0.1,10.5,ok,0.9821353349727162,0.15695885973774967,0.019583843329253364,468,817,0.0,0.5199212216861324,4.477372482319921,0.0017270112004834047
fine,0,301,0.5,9.5,ok,0.9821353349727162,0.15695885973774967,0.019583843329253364,468,817,0.0,0.47734634418805,4.477372482319921,0.012587992750190152
fine,0,301,0.1,9.5,ok,0.9821353349727162,0.15695885973774967,0.019583843329253364,468,817,0.0,0.47734634418805,4.477372482319921,0.012587992750190152
fine,0,302,0.5,9.5,ok,0.9821353349727162,0.15695885973774967,0.019583843329253364,468,817,0.0,0.48065917312579653,4.477372482319921,0.014622028164092828
fine,0,302,0.1,9.5,ok,0.9821353349727162,0.15695885973774967,0.019583843329253364,468,817,0.0,0.48065917312579653,4.477372482319921,0.014622028164092828
fine,1,300,0.5,9.5,ok,0.9754288968478506,0.1555513288000911,0.017356475300400534,439,749,0.0,0.47077477524572564,4.652529796075616,0.014698784217447646
fine,1,300,0.1,9.5,ok,0.9754288968478506,0.1555513288000911,0.017356475300400534,439,749,0.0,0.47077477524572564,4.652529796075616,0.014698784217447646
fine,1,301,0.5,10.5,ok,0.9754288968478506,0.1555513288000911,0.017356475300400534,439,749,0.0,0.5117454963351178,4.652529796075616,0.0013432309337093149
fine,1,301,0.1,10.5,ok,0.9754288968478506,0.1555513288000911,0.017356475300400534,439,749,0.0,0.5117454963351178,4.652529796075616,0.0013432309337093149
fine,1,302,0.5,9.5,ok,0.9754288968478506,0.1555513288000911,0.017356475300400534,439,749,0.0,0.4709253024812361,4.652529796075616,0.012971773016964241
fine,1,302,0.1,9.5,ok,0.9754288968478506,0.1555513288000911,0.017356475300400534,439,749,0.0,0.4709253024812361,4.652529796075616,0.012971773016964241
fine,2,300,0.5,9.5,ok,0.9876553790882862,0.16382843687649395,0.014109347442680775,574,1134,0.0,0.49066143880217294,4.662047546691612,0.016617685551318095
fine,2,300,0.1,9.5,ok,0.9876553790882862,0.16382843687649395,0.014109347442680775,574,1134,0.0,0.49066143880217294,4.662047546691612,0.016617685551318095
fine,2,301,0.5,9.5,ok,0.9876553790882862,0.16382843687649395,0.014109347442680775,574,1134,0.0,0.49157440348315573,4.662047546691612,0.013931223683899466
fine,2,301,0.1,9.5,ok,0.9876553790882862,0.16382843687649395,0.014109347442680775,574,1134,0.0,0.49157440348315573,4.662047546691612,0.013931223683899466
fine,2,302,0.5,9.5,ok,0.9876553790882862,0.16382843687649395,0.014109347442680775,574,1134,0.0,0.4900014833756935,4.662047546691612,0.014353381977350964
fine,2,302,0.1,9.5,ok,0.9876553790882862,0.16382843687649395,0.014109347442680775,574,1134,0.0,0.4900014833756935,4.662047546691612,0.014353381977350964
medium,0,300,0.5,9.5,ok,0.9712538884722318,0.11670049027205485,0.03018867924528302,141,265,0.0,0.3746992009639123,1.8659545713437244,0.004653971186658643
medium,0,300,0.1,9.5,ok,0.9712538884722318,0.11670049027205485,0.03018867924528302,141,265,0.0,0.3746992009639123,1.8659545713437244,0.004653971186658643
medium,0,301,0.5,9.5,ok,0.9712538884722318,0.11670049027205485,0.03018867924528302,141,265,0.0,0.37434604012112405,1.8659545713437244,0.005517594705832412
medium,0,301,0.1,9.5,ok,0.9712538884722318,0.11670049027205485,0.03018867924528302,141,265,0.0,0.37434604012112405,1.8659545713437244,0.005517594705832412
medium,0,302,0.5,9.5,ok,0.9712538884722318,0.11670049027205485,0.03018867924528302,141,265,0.0,0.3744231004366009,1.8659545713437244,0.00566153195902804
medium,0,302,0.1,9.5,ok,0.9712538884722318,0.11670049027205485,0.03018867924528302,141,265,0.0,0.3744231004366009,1.8659545713437244,0.00566153195902804
medium,1,300,0.5,9.5,ok,0.9446111424858493,0.1560177708003829,0.02422145328719723,186,289,0.0,0.5427556782546304,2.3712702882291765,0.006141322803013468
medium,1,300,0.1,9.5,ok,0.9446111424858493,0.1560177708003829,0.02422145328719723,186,289,0.0,0.5427556782546304,2.3712702882291765,0.006141322803013468
medium,1,301,0.5,9.5,ok,0.9446111424858493,0.1560177708003829,0.02422145328719723,186,289,0.0,0.5642797769339738,2.3712702882291765,0.004701950271057185
medium,1,301,0.1,9.5,ok,0.9446111424858493,0.1560177708003829,0.02422145328719723,186,289,0.0,0.5642797769339738,2.3712702882291765,0.004701950271057185
medium,1,302,0.5,9.5,ok,0.9446111424858493,0.1560177708003829,0.02422145328719723,186,289,0.43551038088808286,0.5644896191119171,2.3712702882291765,0.003070661401506734
medium,1,302,0.1,10.5,ok,0.9446111424858493,0.1560177708003829,0.02422145328719723,186,289,0.0,0.617843944096349,2.3712702882291765,0.0006237280971810552
medium,2,300,0.5,7.5,ok,0.9554156687157621,0.15940115222063955,0.022058823529411766,178,272,0.3535868055962155,0.6464131944037845,2.285723580746575,0.12066739726233493
medium,2,300,0.1,8.5,ok,0.9554156687157621,0.15940115222063955,0.022058823529411766,178,272,0.0,0.6749731727376713,2.285723580746575,0.021110797135358794
medium,2,301,0.5,8.5,ok,0.9554156687157621,0.15940115222063955,0.022058823529411766,178,272,0.0,0.6748787447606799,2.285723580746575,0.02566881015322035
medium,2,301,0.1,8.5,ok,0.9554156687157621,0.15940115222063955,0.022058823529411766,178,272,0.0,0.6748787447606799,2.285723580746575,0.02566881015322035
medium,2,302,0.5,8.5,ok,0.9554156687157621,0.15940115222063955,0.022058823529411766,178,272,0.0,0.43580579329342106,2.285723580746575,0.03560048062371869
medium,2,302,0.1,8.5,ok,0.9554156687157621,0.15940115222063955,0.022058823529411766,178,272,0.0,0.43580579329342106,2.285723580746575,0.03560048062371869
coarse,0,300,0.5,9.5,ok,0.887774559307609,0.13991317126932146,0.005474452554744526,298,548,0.0,0.5014586282834552,1.5364543295374684,0.0026878339208897453
coarse,0,300,0.1,9.5,ok,0.887774559307609,0.13991317126932146,0.005474452554744526,298,548,0.0,0.5014586282834552,1.5364543295374684,0.0026878339208897453
coarse,0,301,0.5,9.5,ok,0.887774559307609,0.13991317126932146,0.005474452554744526,298,548,0.0,0.501676583552346,1.5364543295374684,0.002058404458402906
coarse,0,301,0.1,9.5,ok,0.887774559307609,0.13991317126932146,0.005474452554744526,298,548,0.0,0.501676583552346,1.5364543295374684,0.002058404458402906
coarse,0,302,0.5,9.5,ok,0.887774559307609,0.13991317126932146,0.005474452554744526,298,548,0.0,0.5013621018477223,1.5364543295374684,0.002262543743533773
coarse,0,302,0.1,9.5,ok,0.887774559307609,0.13991317126932146,0.005474452554744526,298,548,0.0,0.5013621018477223,1.5364543295374684,0.002262543743533773
coarse,1,300,0.5,9.5,ok,0.9528360204536408,0.1324748610511012,0.006263048016701462,258,479,0.0,0.46042953099289063,1.4685099708030782,0.0031471473124341956
coarse,1,300,0.1,9.5,ok,0.9528360204536408,0.1324748610511012,0.006263048016701462,258,479,0.0,0.46042953099289063,1.4685099708030782,0.0031471473124341956
