analog,struct_seed,phi_ni,phi_ysz,tpb_um2,n_ni_throats,seconds
fine,0,0.3206914310760465,0.42109832712396816,27.16825553364015,689,23.0
fine,1,0.3204213236905545,0.4209113156549054,28.019760391555263,692,19.5
fine,2,0.32137208707721526,0.4209449192782526,27.770016071298123,691,19.5
fine,3,0.3229733727810651,0.420928117466579,27.708378990430273,692,19.6
fine,4,0.32102892833662067,0.42107239389290674,27.1066184527723,693,19.8
medium,0,0.2499507200685634,0.3879062150870051,17.16686307219051,392,17.8
medium,1,0.2495075067721645,0.3880352305596792,17.17872392525367,396,16.9
medium,2,0.2493235487672365,0.38802956795886195,17.292741157925345,395,17.1
medium,3,0.24886242940879386,0.38793621156700997,17.335210664054728,397,17.9
medium,4,0.2495896910056473,0.38790147074577985,17.227697770159626,396,16.9
coarse,0,0.22871855843373043,0.3840560589652076,11.03948500483957,203,13.4
coarse,1,0.2301268167141453,0.3839797763543915,11.323590835081998,204,12.8
coarse,2,0.2281122054678375,0.3840065065315422,11.207916384254268,202,13.3
coarse,3,0.22903087945096529,0.3840943565874411,11.293890638247852,205,13.4
coarse,4,0.22901915568905706,0.3840013480763026,11.438092909718904,201,13.9
