sample,anode,state,grad,interface,elec_end,fl_ni,sup_ni,fl_ni_conn,sup_ni_conn
fine_pre,fine,pristine,0.00415118277409976,False,first,0.3131273844033981,0.33149551411013123,0.3074877759590025,0.326933644904244
medium_pre,medium,pristine,0.0058985194210604,False,last,0.22826048281888442,0.27106321690542995,0.2184385461280953,0.26004405737704916
coarse_pre,coarse,pristine,0.1035208524965533,True,last,0.19200986799404726,0.2647542145511299,0.16978910756071544,0.256834876289104
fine_post,fine,degraded,0.023978893718024696,False,first,0.20704537296716874,0.23550556411446097,0.14182660010992987,0.15426679416099515
medium_post,medium,degraded,0.055239584869035296,True,first,0.19710193891947825,0.26785920752316517,0.14641134263265435,0.23387472587719296
coarse_post,coarse,degraded,0.11565579535495185,True,last,0.2046186660093485,0.28514199532573764,0.1658930963336254,0.2685361360648553
