case,tpb,tpb_ratio
all_moves,22.53461781430763,5.033000471435306
contact_adjacent_only,22.711387005183777,5.0724810354433645
away_from_contact_only,4.635489952230846,1.0353147902112887
pristine,4.477372482319921,1.0
