analog,snow_node_d_volwt_nm,ysz_edt_p50_nm,ysz_edt_mean_nm,ysz_P_span,ysz_n_clusters,ysz_n_clusters_per_Mvox
fine,462.5790117841698,40.0,42.40709726041281,0.9995344406611109,211.4,38.60764117174374
medium,536.1669359957361,40.0,43.72476521402741,0.9988738441531803,220.4,33.730735678976444
coarse,635.0837936751399,44.721359549995796,48.65029683673634,0.9986218131588837,142.2,22.228252577977084
