grain,P_span_pre,P_span_post,P_span_retained,P_reach_pre,P_reach_post,P_reach_retained,P_largest_pre,P_largest_post,P_largest_retained,n_clusters_pre,n_clusters_post,n_clusters_ratio
fine,0.998909222983499,0.9567771195185821,0.957821889621683,0.9990865383654174,0.9631831668946502,0.9640638021912418,0.998909222983499,0.9567771195185821,0.957821889621683,975,2671,2.7394871794871793
medium,0.9880277827249967,0.8548746914626081,0.8652334543719508,0.9883845176282947,0.8907526158440432,0.9012207293386921,0.9880277827249967,0.8548746914626081,0.8652334543719508,1598,2893,1.8103879849812266
coarse,0.9245772095222743,0.0,0.0,0.9331721140325289,0.5028790645067139,0.5388920831909733,0.9245772095222743,0.1235075339047186,0.13358271503202473,2917,3873,1.327733973260199
