analog,struct_seed,damage_seed,n_rounds,P_span,vol_err,surf_pre,surf_post,tpb_pre,tpb_post,iface_pre,iface_post
fine,0,300,20,0.9988080716273211,0.0,500494,507174,27.16825553364015,55.2688289867777,310174,211814
fine,1,300,20,0.9983699050270191,0.0,504066,511468,28.019760391555263,56.42897582000146,312783,210792
fine,2,300,20,0.997281362501101,0.0,506082,513642,27.770016071298123,55.75096793045511,314440,212750
fine,3,300,20,0.999367816189447,0.0,502478,509094,27.708378990430273,55.51446416831032,314791,212910
fine,4,300,20,0.9999994311154802,0.0,501674,508976,27.1066184527723,55.48570019723866,313616,209334
medium,0,300,20,0.9956245488160381,0.0,447188,462382,17.16686307219051,36.03365421404631,225072,136365
medium,1,300,20,0.9985708213238366,0.0,449254,462872,17.17872392525367,36.27431474877948,226802,132794
medium,2,300,20,0.9971223463189911,0.0,450416,464130,17.292741157925345,36.12777582222495,229265,137378
medium,3,300,20,0.9970007847034486,0.0,448402,463434,17.335210664054728,36.262071287552985,229314,138812
medium,4,300,20,0.997238853011079,0.0,450440,463614,17.227697770159626,36.41894063451738,227170,132331
coarse,0,300,20,0.9909819276326176,0.0,330870,348326,11.03948500483957,24.668749015204,162754,95836
coarse,1,300,20,0.9930069787567026,0.0,332702,352770,11.323590835081998,25.856756888569862,164820,97800
coarse,2,300,20,0.9907962343434565,0.0,336580,350892,11.207916384254268,24.665231886631535,162681,92592
coarse,3,300,20,0.989928138080811,0.0,334882,351942,11.293890638247852,25.868480650478077,165313,98705
coarse,4,300,20,1.0,0.0,334988,354282,11.438092909718904,26.316328355371922,166926,98231
