anode,roi,p_span_6,p_span_26,gain,disconnected_6,disconnected_26
fine,0,0.9821353349727162,0.9823880612586906,0.00025272628597439173,0.017864665027283788,0.017611938741309396
fine,1,0.9754288968478506,0.9763524157552843,0.0009235189074336958,0.024571103152149387,0.02364758424471569
fine,2,0.9876553790882862,0.9876721771326686,1.6798044382482225e-05,0.012344620911713844,0.012327822867331362
medium,0,0.9712538884722318,0.971254082091115,1.936188831486163e-07,0.02874611152776818,0.028745917908885033
medium,1,0.9446111424858493,0.9446112539854125,1.1149956313794007e-07,0.05538885751415068,0.05538874601458754
medium,2,0.9554156687157621,0.9554159178660971,2.49150335029924e-07,0.04458433128423789,0.04458408213390286
coarse,0,0.887774559307609,0.8877775831701534,3.0238625444711786e-06,0.11222544069239104,0.11222241682984657
coarse,1,0.9528360204536408,0.9528384019487435,2.3814951026768227e-06,0.0471639795463592,0.047161598051256526
coarse,2,0.915700676724847,0.915702426169892,1.7494450449406784e-06,0.084299323275153,0.08429757383010805
