threshold,fine,medium,coarse,ordering,fine_most_resistant
0.8,4.5,4.5,2.8333333333333335,fine > medium > coarse,True
0.7,6.5,6.833333333333333,5.722222222222222,medium > fine > coarse,False
0.68,6.5,7.166666666666667,6.277777777777778,medium > fine > coarse,False
0.6,8.5,8.38888888888889,8.166666666666666,fine > medium > coarse,True
0.5,9.722222222222221,9.055555555555555,9.38888888888889,fine > coarse > medium,True
0.4,9.722222222222221,9.166666666666666,9.38888888888889,fine > coarse > medium,True
0.3,9.722222222222221,9.277777777777779,9.38888888888889,fine > coarse > medium,True
0.2,9.722222222222221,9.277777777777779,9.38888888888889,fine > coarse > medium,True
0.1,9.722222222222221,9.277777777777779,9.38888888888889,fine > coarse > medium,True
