analog,seed,p_sinter,lattice,a_ysz_vox,w_ysz_vox,ysz_jitter,n_grains,n_candidate_contacts,n_sintered,mean_coord_sintered,r_ysz_vox,grain_d_nm,gap_vox,solve_iters,phi_ysz,phi_ysz_target,phi_ysz_rel_dev,phi_ni,P_span,P_reach,P_largest,Q_ysz,n_clusters,percolates,edt_mean_nm,edt_p50_nm,filt_n,filt_volfrac,filt_threshold_vox,domain_vox,seconds,p_sinter_source
fine,0,0.955,FCC,40.0,8.0,0.02,792,3494,3332,8.414141414141413,13.025447160004465,521.0178864001786,2.2333769274529693,9,0.42109832712396816,0.421,0.0002335561139386656,0.3206914310760465,0.9986889389469703,0.9997853208001158,0.9986889389469703,0.001311061053029694,231,True,57.43296986428636,44.721359549995796,1,0.0005356137613270384,925.6920492817753,5475600,5.9,A5_recalibrated
fine,1,0.955,FCC,40.0,8.0,0.02,792,3492,3321,8.386363636363637,13.031857313074829,521.2742925229932,2.220556621312241,11,0.4209113156549054,0.421,0.00021065165105598474,0.3204213236905545,0.9990805912332053,0.9996498523478984,0.9990805912332053,0.0009194087667947493,351,True,57.375634859661865,44.721359549995796,0,0.0,927.059391606047,5475600,6.0,A5_recalibrated
fine,2,0.955,FCC,40.0,8.0,0.02,792,3469,3303,8.340909090909092,13.041472542680376,521.658901707215,2.2013261621011466,12,0.4209449192782526,0.421,0.00013083306828353734,0.32137208707721526,0.9992307779078374,0.9996910963735929,0.9992307779078374,0.0007692220921625692,276,True,57.24829930074769,44.721359549995796,0,0.0,929.1129286885739,5475600,6.2,A5_recalibrated
medium,0,0.523,FCC,46.0,10.0,0.02,665,2920,1524,4.583458646616541,13.91321064984876,556.5284259939505,4.700490634883664,12,0.3879062150870051,0.388,0.00024171369328579266,0.2499507200685634,0.9882787070872219,0.9976315957670939,0.9882787070872219,0.011721292912778125,215,True,64.58645159754569,48.98979485566356,5,0.011059260211992498,1128.159983176152,6534100,4.5,A5_recalibrated
medium,1,0.523,FCC,46.0,10.0,0.02,665,2909,1514,4.553383458646617,13.983937372923748,559.3574949169499,4.55903718873369,7,0.38808053136621723,0.388,0.0002075550675701495,0.25291899419966024,0.9900290130324002,0.9925221541338544,0.9900290130324002,0.009970986967599793,179,True,64.75838254532525,48.98979485566356,6,0.009276519792708843,1145.4523306433832,6534100,5.2,A5_recalibrated
medium,2,0.523,FCC,46.0,10.0,0.02,665,2883,1538,4.625563909774436,13.976492454705328,559.0596981882131,4.57392702517053,11,0.38807915397682924,0.388,0.00020400509492068838,0.25134173030715784,0.9904225498748298,0.9984848652153132,0.9904225498748298,0.009577450125170195,229,True,64.65603046145735,48.98979485566356,8,0.00850202780402469,1143.6238199638155,6534100,5.7,A5_recalibrated
coarse,0,0.416,FCC,53.0,11.0,0.02,500,2136,864,3.456,16.0374266621522,641.497066486088,5.4018060785826165,10,0.3840560589652076,0.384,0.00014598688856147396,0.22871855843373043,0.9281922644234135,0.9564342661589282,0.9281922644234135,0.07180773557658648,149,True,73.74216187909495,60.0,22,0.07027003046105104,1727.796776762688,6397264,4.0,A5_recalibrated
coarse,1,0.416,FCC,53.0,11.0,0.02,500,2136,910,3.64,16.033100590039957,641.3240236015984,5.410458222807101,12,0.3839797763543915,0.384,5.266574377212757e-05,0.2301268167141453,0.9323222413105251,0.9729480300600061,0.9323222413105251,0.0676777586894749,136,True,73.59704120588898,60.0,21,0.06656516393776309,1726.3989420223975,6397264,3.8,A5_recalibrated
coarse,2,0.416,FCC,53.0,11.0,0.02,500,2149,894,3.576,16.011470229478753,640.4588091791502,5.453718943929509,11,0.3840196371448794,0.384,5.113839812344543e-05,0.22999426004616974,0.9081490225609818,0.9446153846153846,0.9081490225609818,0.09185097743901816,103,True,73.25376312289565,60.0,17,0.09048897391799893,1719.421076166664,6397264,3.5,A5_recalibrated
