op,arm,analog,struct_seed,damage_seed,transition_midpoint,bracket_flag,n_transition,phase,pristine_Q_ysz,n_secondary,retained_P_span_at_nsec,seconds,phi_ni_post,phi_ysz_post,ni_P_span,ni_P_reach,ni_P_largest,ni_n_clusters,ysz_P_span,ysz_P_largest,ysz_n_clusters,tpb_um2,ni_vol_loss_frac,ysz_vol_loss_frac
O3,main,fine,0,300,6.5,ok,7,YSZ,0.001311061053029694,2,0.9790002482716047,2.3,0.3206914310760465,0.395401417196289,1.0,1.0,1.0,1,0.0,0.08692461178904973,497,28.23160932135291,0.0,0.061023538381605125
O3,main,fine,0,301,6.5,ok,7,YSZ,0.001311061053029694,2,0.9899769259410421,2.3,0.3206914310760465,0.3950851048286946,1.0,1.0,1.0,1,0.0,0.03778252766108514,509,28.170885382423844,0.0,0.061774698733522815
O3,main,fine,0,302,6.5,ok,7,YSZ,0.001311061053029694,2,0.9920199137084579,2.3,0.3206914310760465,0.39521312732851194,1.0,1.0,1.0,1,0.0,0.07660156125449336,508,28.278179560230843,0.0,0.061470678290858616
O3,main,fine,1,300,6.5,ok,7,YSZ,0.0009194087667947493,2,0.982658543047306,2.3,0.3204213236905545,0.3954631455913507,1.0,1.0,1.0,1,0.0,0.036581265891997686,616,29.103203301921248,0.0,0.060459695705636474
O3,main,fine,1,301,5.5,ok,6,YSZ,0.0009194087667947493,2,0.9828518020588048,2.3,0.3204213236905545,0.39656402951274744,1.0,1.0,1.0,1,0.0,0.08936109266445184,569,29.06576448243115,0.0,0.05784421857197031
O3,main,fine,1,302,5.5,ok,6,YSZ,0.0009194087667947493,2,0.9843244936003667,2.3,0.3204213236905545,0.39664402074658484,1.0,1.0,1.0,1,0.0,0.19585388403693785,567,29.024673095185918,0.0,0.05765417560837616
O3,main,fine,2,300,5.5,ok,6,YSZ,0.0007692220921625692,2,0.9866951956091327,2.3,0.32137208707721526,0.3968187961136679,1.0,1.0,1.0,1,0.0,0.07664828349873275,507,28.95299145299145,0.0,0.057314204447344475
O3,main,fine,2,301,5.5,ok,6,YSZ,0.0007692220921625692,2,0.9770102237445415,2.3,0.32137208707721526,0.39694152239024033,1.0,1.0,1.0,1,0.0,0.08222754800682588,500,28.941120607787276,0.0,0.05702265495725245
O3,main,fine,2,302,6.5,ok,7,YSZ,0.0007692220921625692,2,0.9860216308589165,2.4,0.32137208707721526,0.3957851194389656,1.0,1.0,1.0,1,0.0,0.028909711830362395,559,29.030608517788007,0.0,0.0597698147359178
O3,main,fine,3,300,5.5,ok,6,YSZ,0.0006677270467200236,2,0.9891871590807476,2.4,0.3229733727810651,0.396619913799401,1.0,1.0,1.0,1,0.0,0.09173369458109933,464,28.8593944042662,0.0,0.057749061320685136
O3,main,fine,3,301,6.5,ok,7,YSZ,0.0006677270467200236,2,0.9843242447654654,2.4,0.3229733727810651,0.39533366206443127,1.0,1.0,1.0,1,0.0,0.09161546993586607,522,28.927423478705528,0.0,0.06080481284118511
O3,main,fine,3,302,6.5,ok,7,YSZ,0.0006677270467200236,2,0.9835745673724322,2.4,0.3229733727810651,0.3950436481846738,1.0,1.0,1.0,1,0.0,0.07753405874251826,548,28.909617210899263,0.0,0.06149379955346024
O3,main,fine,4,300,6.5,ok,7,YSZ,0.0009741397556582987,2,0.9814366395635815,2.4,0.32102892833662067,0.3951139601139601,1.0,1.0,1.0,1,0.0,0.05614180077892808,515,28.31424866681277,0.0,0.06164838672741091
O3,main,fine,4,301,5.5,ok,6,YSZ,0.0009741397556582987,2,0.9820051689946234,2.4,0.32102892833662067,0.39649919643509385,1.0,1.0,1.0,1,0.0,0.141624571467262,452,28.236631602016217,0.0,0.05835860487226019
O3,main,fine,4,302,6.5,ok,7,YSZ,0.0009741397556582987,2,0.9878744570610622,2.3,0.32102892833662067,0.39455475199064943,1.0,1.0,1.0,1,0.0,0.056984184585988674,541,28.33022865074147,0.0,0.06297644368726207
O3,main,medium,0,300,3.5,ok,4,YSZ,0.011721292912778125,2,0.8833213184744092,2.1,0.2499507200685634,0.3627102431857486,1.0,1.0,1.0,1,0.0,0.09711791424840241,400,16.759767986409756,0.0,0.06495377212660847
O3,main,medium,0,301,4.5,ok,5,YSZ,0.011721292912778125,2,0.7975726534710281,2.1,0.2499507200685634,0.36060635741724184,1.0,1.0,1.0,1,0.0,0.09915891348836578,416,16.578411716992395,0.0,0.07037746910974352
O3,main,medium,0,302,4.5,ok,5,YSZ,0.011721292912778125,2,0.8470978498489001,2.0,0.2499507200685634,0.3594683276962397,1.0,1.0,1.0,1,0.0,0.0575059115242579,431,16.537855251679648,0.0,0.07331124453467941
O3,main,medium,1,300,3.5,ok,4,YSZ,0.00991575102121467,2,0.7413768543996361,2.0,0.2495075067721645,0.3638517929018534,1.0,1.0,1.0,1,0.0,0.17184968394628852,351,16.73030715783352,0.0,0.06232278863685936
O3,main,medium,1,301,3.5,ok,4,YSZ,0.00991575102121467,2,0.8147595403556727,2.1,0.2495075067721645,0.36360876019650756,1.0,1.0,1.0,1,0.0,0.20388230599834334,349,16.66794202721109,0.0,0.06294910471902349
O3,main,medium,1,302,3.5,ok,4,YSZ,0.00991575102121467,2,0.8283706100183083,2.0,0.2495075067721645,0.3637567530340827,1.0,1.0,1.0,1,0.0,0.09944661424094263,345,16.711941965993784,0.0,0.06256771451030008
O3,main,medium,2,300,4.5,ok,5,YSZ,0.009549881992124365,2,0.8725137596251521,2.0,0.2493235487672365,0.36020599623513566,1.0,1.0,1.0,1,0.0,0.0828234100463031,472,16.72801150885355,0.0,0.07170477206179326
O3,main,medium,2,301,3.5,ok,4,YSZ,0.009549881992124365,2,0.87835963616447,2.1,0.2493235487672365,0.3637798625671477,1.0,1.0,1.0,1,0.0,0.1568346982339731,411,16.794202721109258,0.0,0.06249447824111465
O3,main,medium,2,302,3.5,ok,4,YSZ,0.009549881992124365,2,0.8351301369186553,2.1,0.2493235487672365,0.3632414563597129,1.0,1.0,1.0,1,0.0,0.07378649530473706,399,16.712707182320443,0.0,0.0638820173667205
O3,main,medium,3,300,3.5,ok,4,YSZ,0.008993164784477314,2,0.8352666983391664,2.1,0.24886242940879386,0.3632325798503237,1.0,1.0,1.0,1,0.0,0.0813386545366601,374,16.91893298235411,0.0,0.06367962304137498
O3,main,medium,3,301,3.5,ok,4,YSZ,0.008993164784477314,2,0.9118642451583946,2.1,0.24886242940879386,0.36292052463231356,1.0,1.0,1.0,1,0.0,0.13532619902764617,359,16.80223749253914,0.0,0.0644840213128064
O3,main,medium,3,302,3.5,ok,4,YSZ,0.008993164784477314,2,0.825481879866995,2.0,0.24886242940879386,0.3618637608852022,1.0,1.0,1.0,1,0.0,0.08080470163513437,405,16.832846145605362,0.0,0.06720808706279835
O3,main,medium,4,300,4.5,ok,5,YSZ,0.0146899672412113,2,0.8281101208693787,2.0,0.2495896910056473,0.3613458624753218,1.0,1.0,1.0,1,0.0,0.07318588606013375,463,16.69740285578733,0.0,0.06845967410075093
O3,main,medium,4,301,3.5,ok,4,YSZ,0.0146899672412113,2,0.8258616528654472,2.0,0.2495896910056473,0.3637367043663244,1.0,1.0,1.0,1,0.0,0.06406509551931845,420,16.689750692520775,0.0,0.062296145289153615
O3,main,medium,4,302,2.5,ok,3,YSZ,0.0146899672412113,2,0.810455119736945,2.1,0.2495896910056473,0.3670305015227805,1.0,1.0,1.0,1,0.0,0.2303243163454137,358,16.87072435377481,0.0,0.053804821061577246
O3,main,coarse,0,300,2.5,ok,3,YSZ,0.07180773557658648,2,0.4682198794965923,1.8,0.22871855843373043,0.3691967378554332,1.0,1.0,1.0,1,0.0,0.17946193850665304,249,10.887466892096372,0.0,0.03869050041759803
O3,main,coarse,0,301,3.5,ok,4,YSZ,0.07180773557658648,2,0.6601394887919753,1.7,0.22871855843373043,0.36695296614302614,1.0,1.0,1.0,1,0.0,0.1333455449319381,270,10.806182142866074,0.0,0.04453280301907925
O3,main,coarse,0,302,3.5,ok,4,YSZ,0.07180773557658648,2,0.560338959021829,1.7,0.22871855843373043,0.3659104892341476,1.0,1.0,1.0,1,0.0,0.13711954668992912,288,10.770229273014213,0.0,0.04724719037098657
O3,main,coarse,1,300,3.5,ok,4,YSZ,0.0676777586894749,2,0.5325340603573845,1.6,0.2301268167141453,0.36639522770984595,1.0,1.0,1.0,1,0.0,0.09340649260834488,257,11.047691638175321,0.0,0.04579550728295645
O3,main,coarse,1,301,2.5,ok,3,YSZ,0.0676777586894749,2,0.45074425074752783,1.7,0.2301268167141453,0.36886831620517774,1.0,1.0,1.0,1,0.0,0.18075108020008918,232,11.12116054613347,0.0,0.03935483345681923
O3,main,coarse,1,302,3.5,ok,4,YSZ,0.0676777586894749,2,0.5231523689147922,1.7,0.2301268167141453,0.36675350587376104,1.0,1.0,1.0,1,0.0,0.10095988481893634,254,11.016819065150353,0.0,0.044862442090521926
O3,main,coarse,2,300,3.5,ok,4,YSZ,0.09165546889978837,2,0.7258100243661774,1.9,0.2281122054678375,0.36533321119778706,1.0,1.0,1.0,1,0.0,0.09192416520583124,229,10.90739728734034,0.0,0.04862754931529101
O3,main,coarse,2,301,2.5,ok,3,YSZ,0.09165546889978837,2,0.6473476649844288,1.8,0.2281122054678375,0.36741488236220987,1.0,1.0,1.0,1,0.0,0.21014061137229043,205,11.014474312768709,0.0,0.04320662251062546
