anode,roi,n_nodes,n_edges,mincut_edges,frac_mincut,mean_degree,sd_degree,min_degree,max_degree,mean_pair_dist_nm,sd_pair_dist_nm,cv_pair_dist,neck_p25_nm,overlap_mincut_lowerquartile,seconds
fine,0,430,761,16,0.02102496714848883,3.5395348837209304,2.0339147194492764,1,13,912.310240004141,357.1524259431263,0.39148132979577777,192.8770103631905,0.375,151.8
fine,1,541,1041,16,0.01536983669548511,3.8484288354898335,2.411299327036344,1,24,836.4665168869678,371.82421993740667,0.4445177570540477,118.11255973270818,0.375,143.8
fine,2,512,1016,22,0.021653543307086614,3.96875,2.58658649333441,1,19,912.1278286842015,372.05038449298945,0.40789281150394696,147.31224950992328,0.22727272727272727,156.0
medium,0,137,262,10,0.03816793893129771,3.8248175182481754,2.6468485881236643,1,15,1332.901221326755,526.0244479624222,0.39464623450402675,406.54097688275215,0.2,58.2
medium,1,164,257,6,0.023346303501945526,3.1341463414634148,1.885517300578093,1,10,1143.6511779942275,475.2145415459644,0.4155240257605567,265.0050703323359,0.16666666666666666,57.3
medium,2,162,278,3,0.01079136690647482,3.432098765432099,2.3090710633132483,1,16,1131.8303937745097,496.56960261991924,0.4387314613136718,303.35209544318786,0.3333333333333333,56.3
coarse,0,66,162,2,0.012345679012345678,4.909090909090909,2.853638149574195,1,14,1199.1124141380944,535.8999334800518,0.4469138399048677,276.0205859431153,0.0,21.9
coarse,1,72,115,2,0.017391304347826087,3.1944444444444446,1.8153580063882784,1,9,1299.715815167932,492.1136979540315,0.3786317687381892,383.6339743656936,0.0,23.8
coarse,2,48,83,1,0.012048192771084338,3.4583333333333335,2.0408161493764094,1,10,1386.7376979498417,576.4981854945164,0.41572258859538724,434.0675445746456,1.0,21.6
