dA,count,share
-12,23,8.88476841657975e-05
-10,19,7.339591300652837e-05
-8,325,0.001255456406690617
-6,2066,0.007980839803762506
-4,4172,0.016116197319117703
-2,44896,0.17343067949163674
0,207369,0.8010545833816202
