sample,grain,state,n_phase_voxels,volume_fraction,n_clusters,percolates_x,n_spanning_clusters,P_span,P_reach,P_largest,percolates_z,percolates_y,seconds
fine_pre,fine,pristine,400636421,0.4212556906932742,975,True,1,0.998909222983499,0.9990865383654174,0.998909222983499,True,True,16.2
medium_pre,medium,pristine,252268559,0.38809592225422146,1598,True,1,0.9880277827249967,0.9883845176282947,0.9880277827249967,True,True,10.2
coarse_pre,coarse,pristine,184489077,0.3837629373833541,2917,True,1,0.9245772095222743,0.9331721140325289,0.9245772095222743,True,True,8.5
fine_post,fine,degraded,226416215,0.31230122869332455,2671,True,1,0.9567771195185821,0.9631831668946502,0.9567771195185821,True,True,11.2
medium_post,medium,degraded,346159016,0.37644710698662415,2893,True,1,0.8548746914626081,0.8907526158440432,0.8548746914626081,True,True,14.7
coarse_post,coarse,degraded,361607042,0.32433451906863275,3873,False,0,0.0,0.5028790645067139,0.1235075339047186,True,False,16.4
