sample,anode,state,slab,x_um,phi_ni,phi_ysz,phi_ni_conn
fine_pre,fine,pristine,0,0.25389,0.2894782523739286,0.45372114797128815,0.27106698666711304
fine_pre,fine,pristine,1,0.7616700000000001,0.30376206278927675,0.42336636080881934,0.2974501231951286
fine_pre,fine,pristine,2,1.26945,0.3534468078394208,0.4151636399573275,0.3516903839554682
fine_pre,fine,pristine,3,1.77723,0.36689618613377184,0.39574306427843453,0.36315904726096054
fine_pre,fine,pristine,4,2.28501,0.30696205384016634,0.4228534367481379,0.30422597598419293
fine_pre,fine,pristine,5,2.79279,0.3289690190165378,0.42687357514387786,0.32536704229323854
fine_pre,fine,pristine,6,3.30057,0.309250877366927,0.44395028060933783,0.30520120368754855
fine_pre,fine,pristine,7,3.8083500000000003,0.30054392403686003,0.4358797039969045,0.29283006444003357
fine_pre,fine,pristine,8,4.31613,0.32330878712512723,0.4223147196127804,0.3148843504523164
fine_pre,fine,pristine,9,4.82391,0.35037678813206313,0.3973764781323013,0.34223414381799955
fine_pre,fine,pristine,10,5.331690000000001,0.3348293584904203,0.4110511132629036,0.32845412325436013
fine_pre,fine,pristine,11,5.83947,0.3449017352260809,0.38934666343039365,0.3409207491886247
fine_pre,fine,pristine,12,6.34725,0.32697578975899855,0.4167494513036407,0.3243045366195669
fine_pre,fine,pristine,13,6.855030000000001,0.3012003799187112,0.42973471520904544,0.29792602755424674
fine_pre,fine,pristine,14,7.3628100000000005,0.2927501904100302,0.41694686288610744,0.2850855026341932
fine_pre,fine,pristine,15,7.87059,0.28432225296109326,0.44113352394724015,0.27891669247315426
fine_pre,fine,pristine,16,8.37837,0.32807507370139716,0.43322124679779583,0.32378988229022543
fine_pre,fine,pristine,17,8.886149999999999,0.3519179344036641,0.4271210438010671,0.3462988265720336
fine_pre,fine,pristine,18,9.393930000000001,0.34423944471735296,0.4154562565549015,0.3400727163511837
fine_pre,fine,pristine,19,9.901710000000001,0.35821615256495026,0.4060909158802931,0.35314010765973036
fine_pre,fine,pristine,20,10.40949,0.360381724628789,0.43513387772682294,0.3555730665897515
fine_pre,fine,pristine,21,10.91727,0.3350940493565976,0.4536972461204962,0.3310387422443725
fine_pre,fine,pristine,22,11.42505,0.32048321816450526,0.43696703701390716,0.3133639674046356
fine_pre,fine,pristine,23,11.93283,0.32284249984065433,0.4151944226439535,0.3178300322489887
fine_pre,fine,pristine,24,12.440610000000001,0.31378752107708663,0.43011666195604376,0.3084555976042137
fine_pre,fine,pristine,25,12.948390000000002,0.3023089187865006,0.43643809790841903,0.29735383173225804
fine_pre,fine,pristine,26,13.45617,0.3242356880224204,0.42215203411993224,0.32035888025382
fine_pre,fine,pristine,27,13.96395,0.3219220773911347,0.4218383323879896,0.3186711842505957
fine_pre,fine,pristine,28,14.47173,0.3083116633949835,0.4063442996419712,0.30281097836954934
fine_pre,fine,pristine,29,14.97951,0.30844364667881774,0.4073595247185376,0.3008807630822797
fine_pre,fine,pristine,30,15.487290000000002,0.3172503520090753,0.3992292739567365,0.3157074352300082
fine_pre,fine,pristine,31,15.995070000000002,0.3401918232170829,0.3988479307918289,0.3377076805257699
fine_pre,fine,pristine,32,16.502850000000002,0.3281320518507597,0.4060656459100956,0.3263462938771989
fine_pre,fine,pristine,33,17.010630000000003,0.3311437252893492,0.4042905512201372,0.32748034414802213
fine_pre,fine,pristine,34,17.51841,0.3040045015957101,0.4252142072601107,0.3001794409316861
fine_pre,fine,pristine,35,18.026190000000003,0.2947824110706291,0.4246341648709429,0.2918581765575798
fine_pre,fine,pristine,36,18.53397,0.3007272520372103,0.4262533341874691,0.2969287087463713
fine_pre,fine,pristine,37,19.04175,0.3133688765389734,0.42891010135672375,0.304443386253265
medium_pre,medium,pristine,0,0.24409999999999998,0.21470152119332447,0.3896738295672722,0.1889522227145178
medium_pre,medium,pristine,1,0.7323,0.21397097917589722,0.41569568749076946,0.20028658986855707
medium_pre,medium,pristine,2,1.2205,0.2282019642593413,0.4211004282971496,0.2155738443361394
medium_pre,medium,pristine,3,1.7087,0.21761637867375572,0.44052377787623687,0.20083547481908137
medium_pre,medium,pristine,4,2.1969000000000003,0.20872625904593117,0.4364514842711564,0.1955189041500517
medium_pre,medium,pristine,5,2.6851,0.2335206025697829,0.39295473342194653,0.22263159060700044
medium_pre,medium,pristine,6,3.1733000000000002,0.24222138531974596,0.38969775513218136,0.23159097622212377
