accepted,s_spec,tpb,r_ni,s_ratio,tpb_ratio,r_ratio
0,0.15695885973774967,4.477372482319921,0.9821353349727162,1.0,1.0,1.0
21572,0.1542581444841673,6.27127658330205,0.9822256941682175,0.9827934832216876,1.400660009428706,1.0000920027946085
43145,0.15311067585511007,8.546940053165693,0.9822616049618935,0.9754828501616969,1.9089186988385547,1.0001285667918474
64717,0.1528693143339307,11.139298999171316,0.9822852660295815,0.973945112683337,2.487909827283247,1.0001526582452809
86290,0.1526439752680361,13.229289575969657,0.9823051077910679,0.9725094558094843,2.954699352847898,1.000172860920798
107862,0.15243167773551286,14.973148730164443,0.9823269523594649,0.9711568877997653,3.3441820597437104,1.0001951028335152
129435,0.1522486304992653,16.473576061144424,0.9823458160059484,0.9699906762424604,3.6792954185059785,1.000214309602493
151007,0.15206763264683323,17.77167443548111,0.9823638412681438,0.9688375215066622,3.969219560279433,1.0002326627372937
172580,0.15191458093733973,18.914648825987705,0.9824007767537276,0.9678624143368648,4.224497492821326,1.0002702700651929
194152,0.15176637322595557,19.959912760573616,0.9824183828237789,0.9669181687451742,4.457952256460807,1.0002881963829053
215725,0.15161695451504406,20.872427100882366,0.9824341258176342,0.9659662077589568,4.661758025114644,1.0003042257357804
237297,0.15148784333466792,21.756887103689934,0.9824515921569709,0.9651436280040333,4.859297989971285,1.00032200978113
258870,0.15136320353716196,22.53461781430763,0.9824672885739214,0.9643495358596701,5.033000471435306,1.0003379917098842
