sample,grain,domain_Mvox,ysz_vox,n_clusters,n_clusters_per_Mvox,P_largest,iso_frac_of_phase,iso_vox,particle_vox,iso_in_whole_particles,whole_particles_per_Mvox,mean_iso_cluster_vox,median_iso_cluster_vox,p90_iso_cluster_vox,max_iso_cluster_vox,n_speckle_le8vox,frac_clusters_speckle,frac_isovol_in_speckle,n_gt_particle,frac_isovol_gt_particle,n_gt_tenth_particle,n_gt_tenth_particle_per_Mvox,frac_isovol_gt_tenth
fine_pre,fine,951.05284,400636421,975,1.0251796314492894,0.998909222983499,0.0010907770165009536,437005,103846.00752449632,4.208202225751573,0.004424782776266746,448.67043121149896,68.5,923.8000000000002,15826,198,0.2032854209445585,0.0008832850882713012,0,0.0,5,0.0052573314433296894,0.14009450692783834
medium_pre,medium,650.016,252268559,1598,2.4584010239747944,0.9880277827249967,0.011972217275003343,3020214,106053.88835107013,28.47810718643514,0.04381139416019781,1891.1797119599248,125.0,3794.4000000000037,123408,41,0.02567313713212273,4.304330752721496e-05,1,0.040860680733219565,64,0.09845911485255748,0.5999419246450748
coarse_pre,coarse,480.737088,184489077,2917,6.067765672366846,0.9245772095222743,0.07542279047772568,13914681,103678.96327144431,134.2092991764361,0.27917400701240697,4771.838477366256,78.0,2949.0,1366793,170,0.05829903978052126,3.0902612859037156e-05,25,0.6252941048379047,128,0.26625780118716363,0.8800410156725835
