anode,roi_side_um,n_rounds,vol_loss,P_span,P_largest,n_clusters,tpb_um2,tpb_pristine_um2,pristine_P_span,ysz_untouched,tpb_retention,seconds
fine,8.0,1,0.04948912587632115,1.0,1.0,1,66.26399977556117,4.477372482319921,0.9821353349727162,True,14.799751425020355,4.6
fine,8.0,3,0.1308301942051996,1.0,1.0,1,54.476687795941814,4.477372482319921,0.9821353349727162,True,12.167110958727982,6.4
fine,8.0,5,0.245965042728721,1.0,1.0,1,15.60788291338211,4.477372482319921,0.9821353349727162,True,3.4859469420991727,8.2
medium,8.0,1,0.053295146526414316,1.0,1.0,1,22.902192209547184,1.8659545713437244,0.9712538884722318,True,12.27371371268417,4.8
medium,8.0,3,0.11333771751024313,1.0,1.0,1,18.874779886049108,1.8659545713437244,0.9712538884722318,True,10.115348023964414,6.9
medium,8.0,5,0.1873609271866179,1.0,1.0,1,5.560248111862717,1.8659545713437244,0.9712538884722318,True,2.9798410943405935,9.2
coarse,12.0,1,0.13680315828805745,1.0,1.0,1,11.313007914989468,1.5364543295374684,0.887774559307609,True,7.363061626696783,9.2
coarse,12.0,3,0.2034501560135199,1.0,1.0,1,9.01297058941999,1.5364543295374684,0.887774559307609,True,5.866084279988484,13.7
coarse,12.0,5,0.27881939631133834,1.0,1.0,1,2.6448115665484146,1.5364543295374684,0.887774559307609,True,1.7213733696494606,11.4
