anode,roi_side_um,n_rounds,vol_loss,P_span,P_largest,n_clusters,tpb_um2,tpb_pristine_um2,tpb_retention,seconds
fine,8.0,1,0.03137136194782375,1.0,1.0,1,68.21909158858843,4.477372482319921,15.236411948742123,4.4
fine,8.0,3,0.11299128620632415,1.0,1.0,1,56.09712321634206,4.477372482319921,12.529027557536537,6.3
fine,8.0,5,0.2316915967997567,1.0,1.0,1,16.062509017402697,4.477372482319921,3.58748553550765,7.9
medium,8.0,1,0.034458643054972926,1.0,1.0,1,23.729543540915653,1.8659545713437244,12.717106785631639,2.3
medium,8.0,3,0.09574434407779375,1.0,1.0,1,19.50100289561889,1.8659545713437244,10.450952662569748,3.1
medium,8.0,5,0.17098919209713548,1.0,1.0,1,5.751156888684517,1.8659545713437244,3.082152683140058,3.9
coarse,12.0,1,0.10533637031904597,1.0,1.0,1,11.84946894470629,1.5364543295374684,7.7122168338537165,4.6
coarse,12.0,3,0.17433433223569095,1.0,1.0,1,9.425825281990074,1.5364543295374684,6.134790407227794,6.2
coarse,12.0,5,0.25191259305936986,1.0,1.0,1,2.7709186099380076,1.5364543295374684,1.803450032108771,8.2
