mode,target_ratio,n,p10_ratio_mean,p10_ratio_sd,p50_ratio_mean,ws_dev_mean,ws_dev_sd,cpsd_dev_mean,cpsd_dev_sd,phi_dev_mean,phi_dev_sd,primary_dev_mean,P_span_min,n_clusters_max
lower_tail,1.5,5,1.8999999911182157,0.2236068176102523,1.0,0.06660099426252816,0.07272746078658218,1.1352438597893308,2.5384824415281835,0.10581421959097237,0.32038564668124214,-0.2772277227722772,1.0,1
lower_tail,2.0,5,2.0,0.0,1.0666666745615863,0.20144619794092805,0.23053907376219243,-6.188319797555034,13.837503733840794,0.15369715631450595,0.21394466190824918,-3.0495049504950495,1.0,1
lower_tail,2.5,5,2.89999993782751,0.223606738169159,1.1333333491231725,-0.05618974399437486,0.10053534326358764,-2.038211378989175,19.17899655267299,1.0579661424765174,3.594468264404728,-18.019801980198018,1.0,1
uniform,1.5,5,1.9881665323888917,0.02646043798797972,1.4000000473695173,2.8257692207585587,4.773316006027959,-6.6137514559861685,0.6227667292801906,7.351997455132379,16.139925066596696,-21.900990099009903,1.0,1
uniform,2.0,5,2.1000000088817843,0.22360681761025245,1.4666666982463448,4.4033235222724,8.528573910222352,-20.839651042503533,7.014562493583063,13.698646725496136,29.973661570358143,-65.14851485148515,1.0,1
uniform,2.5,5,2.9999999111821576,0.0,1.800000071054276,9.984480531162514,7.538369711421353,-16.253895248210952,9.585124619411056,32.17492906415007,31.271328733596327,-87.32673267326733,1.0,1
