mode,nominal_target_ratio,seed,achieved_p10_ratio,neck_p10_nm,neck_p50_nm,neck_p50_ratio,ws_dev_pct,cpsd_dev_pct,phi_dev_pct,primary_size_dev_pct,n_nodes,base_n_nodes,P_span,n_clusters,voxels_added,voxels_removed,voxels_net_residual
lower_tail,1.5,0,1.333333372807931,159.99999902760464,319.9999980552093,1.0,0.04336089924242216,-0.24232247600160856,0.02953674677812952,-0.29477943869808654,64,63,1.0,1,2238,2185,53
lower_tail,1.5,1,1.6142746033532454,200.00000233721948,319.9999980552093,1.0,0.02297497991683731,0.0,0.020231802696066666,-0.29477943869808654,64,64,1.0,1,2192,2225,-33
lower_tail,1.5,2,1.333333372807931,159.99999902760464,319.9999980552093,1.0,-0.20355563004648677,0.0,0.016240286641058456,-0.29477943869808654,64,64,1.0,1,2329,2402,-73
lower_tail,1.5,3,1.333333372807931,159.99999902760464,319.9999980552093,1.0,-0.08290494836732186,0.0,0.020671296849661024,-0.24942875582145785,64,64,1.0,1,1843,1867,-24
lower_tail,1.5,4,1.333333372807931,159.99999902760464,319.9999980552093,1.0,0.01520940350401122,-0.5821707947435065,0.018123984916342376,-0.2721040972597722,63,64,1.0,1,1976,2008,-32
lower_tail,2.0,0,2.0,239.9999914359796,319.9999980552093,1.0,0.09512405482173536,-0.48528646110500934,0.013932427725535332,-0.9977150232858314,64,63,1.0,1,6675,6734,-59
lower_tail,2.0,1,1.9371294322630082,239.9999914359796,319.9999980552093,1.0,0.0661656645772393,0.0,0.02688141616958891,-0.6349095602728018,64,64,1.0,1,4562,4548,14
lower_tail,2.0,2,2.0,239.9999914359796,319.9999980552093,1.0,-0.16425518581657775,0.0,0.018705330149088144,-0.9977150232858314,64,64,1.0,1,7345,7401,-56
lower_tail,2.0,3,2.0,239.9999914359796,319.9999980552093,1.0,-0.03517931386366989,0.0,0.02938980300394768,-0.8163122917793166,64,64,1.0,1,5607,5569,38
lower_tail,2.0,4,2.0,239.9999914359796,319.9999980552093,1.0,-0.2139469051281227,-0.777125325507725,0.022198369122349716,-0.8163122917793166,63,64,1.0,1,5593,5596,-3
