seed,attempt,sub_seed,accepted,p10_vox,p50_vox,ratio,min_vox,max_vox
0,0,0,True,5.0,16.0,3.2,4.0,22.0
1,0,1,True,5.300000000000001,16.0,3.0188679245283017,4.0,22.0
2,0,2,True,5.0,16.0,3.2,4.0,22.0
3,0,3,True,6.0,16.5,2.75,4.0,22.0
4,0,4,True,6.0,16.0,2.6666666666666665,4.0,22.0
