tag,seed,mode,target_w_vox,phi_Ni,P_span,percolates,n_peaks,ws_n_regions_used,ws_d_volweighted_nm,d_cPSD_r50max_nm,neck_p10_nm,neck_p50_nm,n_nodes,n_edges,neck_intended_p10_nm,neck_intended_p50_nm
base (no widening),0,base,0,0.18003788700810186,1.0,True,125,75,329.9626233609186,295.6294132291881,39.99999975690116,79.99999951380232,125,260,40.0,80.0
base (no widening),1,base,0,0.1794117115162037,1.0,True,125,75,329.88187704508874,295.6294132291881,39.99999975690116,79.99999951380232,125,260,40.0,80.0
base (no widening),2,base,0,0.17953001422646606,1.0,True,125,75,329.88379193432814,295.6294132291881,39.99999975690116,79.99999951380232,125,260,40.0,80.0
base (no widening),3,base,0,0.1790304301697531,1.0,True,125,75,329.9272095199312,295.6294132291881,39.99999975690116,79.99999951380232,125,260,40.0,80.0
base (no widening),4,base,0,0.17890911337770063,1.0,True,125,75,329.29256485040383,295.6294132291881,39.99999975690116,79.99999951380232,125,260,40.0,80.0
selective target_w=8,0,selective,8,0.2026435004340278,1.0,True,125,75,345.02846009144406,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=8,1,selective,8,0.20183271243248457,1.0,True,125,75,344.2219718391573,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=8,2,selective,8,0.20042136863425927,1.0,True,125,75,343.08722270884243,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=8,3,selective,8,0.19086070119598766,1.0,True,125,75,337.4468609972568,295.6294132291881,79.99999951380232,119.9999957179898,125,260,60.0,100.0
selective target_w=8,4,selective,8,0.20272035951967593,1.0,True,125,75,345.3131768489639,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=10,0,selective,10,0.22284312307098766,1.0,True,125,75,358.04427795914694,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=10,1,selective,10,0.2218846450617284,1.0,True,125,75,356.8284569260138,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=10,2,selective,10,0.21894968291859568,1.0,True,125,75,354.7294349943543,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=10,3,selective,10,0.20104905116705246,1.0,True,125,75,344.2392043814261,295.6294132291881,79.99999951380232,119.9999957179898,125,260,60.0,100.0
selective target_w=10,4,selective,10,0.22390181929976852,1.0,True,125,75,359.1642011488454,295.6294132291881,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=12,0,selective,12,0.2528091242283951,1.0,True,125,75,375.8029879397959,304.21118698068983,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=12,1,selective,12,0.25161479431905864,1.0,True,125,75,374.25952172946774,310.4787008763055,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=12,2,selective,12,0.24628740475501543,1.0,True,125,75,371.08705561328213,310.4787008763055,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=12,3,selective,12,0.2169656635802469,1.0,True,125,75,354.80024259697393,295.6294132291881,79.99999951380232,119.9999957179898,125,260,60.0,100.0
selective target_w=12,4,selective,12,0.2550018687307099,1.0,True,125,75,377.95271015547854,310.4787008763055,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=14,0,selective,14,0.29491810739776236,1.0,True,135,84,395.1048071980866,306.46225928925674,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=14,1,selective,14,0.2932302215952932,1.0,True,133,83,393.47042142298824,297.3181346722674,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=14,2,selective,14,0.284277645158179,1.0,True,128,78,391.9290248953196,306.46225928925674,79.99999951380232,119.9999957179898,125,260,80.0,120.0
selective target_w=14,3,selective,14,0.24134883174189814,1.0,True,139,86,363.71639489112323,306.46225928925674,79.99999951380232,119.9999957179898,125,260,60.0,100.0
selective target_w=14,4,selective,14,0.29758481626157407,1.0,True,131,77,402.01814586679495,306.46225928925674,79.99999951380232,119.9999957179898,125,260,80.0,120.0
