mode,target_w_vox,n,phi_Ni_mean,phi_Ni_sd,ws_d_mean,ws_d_sd,cpsd_d_mean,cpsd_d_sd,neck_p10_mean,neck_p10_sd,neck_p50_mean
base,0,5,0.17938383125964505,0.00044726532627692347,329.7896133421341,0.27986808320441714,295.6294132291881,0.0,39.99999975690116,0.0,79.99999951380232
selective,8,5,0.19969572844328703,0.005024657042401408,343.0195384971329,3.2327118829719272,295.6294132291881,0.0,79.99999951380232,0.0,119.9999957179898
selective,10,5,0.21772566430362655,0.00950313162850829,354.60111508195735,6.021292139330866,295.6294132291881,0.0,79.99999951380232,0.0,119.9999957179898
selective,12,5,0.2445357711226852,0.015742293276797183,370.7805036069996,9.27674752842817,306.2553405677589,6.530681675360028,79.99999951380232,0.0,119.9999957179898
selective,14,5,0.2822719244309414,0.02341589901894067,389.2477588548625,14.783930569390877,304.6334343658589,4.089376847663481,79.99999951380232,0.0,119.9999957179898
uniform,8,5,0.23456172236689815,0.0012892717681731816,363.5322186671623,0.731256729541608,295.6294132291881,0.0,119.9999957179898,0.0,159.99999902760464
uniform,10,5,0.2896311065297068,0.0018464846444712917,391.9735083772208,0.9003933171882736,310.4787008763055,0.0,159.99999902760464,0.0,200.00000233721948
uniform,12,5,0.36173517674575617,0.002301179054363456,424.3666105550412,0.8217610022334206,297.3181346722674,0.0,200.00000233721948,0.0,239.9999914359796
uniform,14,5,0.4091661241319445,0.0011925854358889665,442.82915842726754,0.5397902308578173,327.11862799014165,0.0,239.9999914359796,0.0,279.99999474559445
