,lambda2_raw_mean,lambda2_raw_sd,lambda2_norm_mean,lambda2_norm_sd,mincut_mean,mincut_sd,g_eff_mean,g_eff_sd,neck_p10_nm_mean,neck_p10_nm_sd,neck_p25_nm_mean,neck_p25_nm_sd,neck_p50_nm_mean,neck_p50_nm_sd,n_nodes_mean,n_nodes_sd,n_edges_mean,n_edges_sd,mean_degree_mean,mean_degree_sd,chamber_equiv_diam_mean_nm_mean,chamber_equiv_diam_mean_nm_sd,Ni_phi,Ni_phi_published,particle_d_volwt_nm,tpb_density_pre,tpb_density_post,tpb_retained,tpb_pre_published,tpb_retained_published,P_span_pre,P_span_post,P_reach_pre,P_reach_post,percolates_post,P_published_pre,P_published_post,P_span_retained,P_reach_retained,P_published_retained
fine,0.4578481927766643,0.3344210523637275,0.0009413059899319,0.000486648908538,1204.8007032652556,629.7211489462327,253.52953749801785,91.9219140145938,69.53342873335565,4.62085874307869,145.9430087891178,21.950910236762606,297.87851000643667,25.12343540463216,508.8333333333333,49.61619359308679,932.0,147.76197075025766,3.64698316989792,0.2414081956903546,671.2120394982101,23.95939567484475,0.3221497072654764,0.322,1147.5499746331966,3.6237140825232346,2.896407723699921,0.7992925649595175,2.65,0.7433962264150944,0.983960328217581,0.668604276445648,0.9864739436494632,0.8456903049141442,True,0.985,0.809,0.6795032861302525,0.8572860037088363,0.8213197969543148
medium,1.22815093621798,0.8367303829349432,0.0021010833709517,0.0018741358460736,1322.6175247610563,1128.452575438421,333.9755125264117,240.77380211492715,156.88523215355113,42.98265407264617,303.77198001474426,52.1172041024711,516.759124972547,96.8195754265577,165.0,19.50384577461584,278.6666666666667,11.843422928641308,3.4052137355282124,0.2848865094047528,900.5312197655147,76.9607366767328,0.2496618498621572,0.25,1444.516287070313,2.1087874725321614,1.5731273652695434,0.7459866799097515,2.03,0.5862068965517242,0.9582613518431496,0.8190195855927983,0.9692928511086016,0.9490044479175318,True,0.965,0.884,0.8546933297659044,0.9790688612137542,0.9160621761658032
coarse,3.5036790900023917,5.904501492828874,0.002295050563488,0.0036198617107402,282.6679336403192,172.18508419534615,120.55919855386628,69.41644415875116,205.2854741900016,45.020364798263046,381.6565670907342,71.82966028359051,631.3248030033315,59.16450367198972,82.11111111111111,23.687784005919827,147.22222222222223,53.445714930613896,3.5492314684064263,0.5871403044528041,1082.1320986071985,45.745125954679146,0.2293016468910341,0.229,1714.5379002042355,1.4726543854471077,0.8683841628294046,0.5896727510615176,1.07,0.6074766355140186,0.9315166801008394,0.8821139486780925,0.9667708289052452,0.9105327740794776,True,0.959,0.886,0.9469652745054452,0.9418289700678592,0.923879040667362
