sample,grain,roi,min_distance,n_peaks,n_regions_total,n_regions_border_excluded,n_regions_used,d_mean_nm,d_median_nm,d_volweighted_nm,d_p90_nm,vol_median_nm3
fine_pre,fine,z0y0x0,4,729,729,293,436,543.6924227372941,506.8746294105895,1079.3503152869512,1045.6496576909808,68190428.502
fine_pre,fine,z0y0x1,4,619,619,278,341,610.6989509895113,560.7281684287782,1215.7496339794418,1120.4011698557676,92311486.21800001
