sample,n_roi,lambda2_raw_mean,lambda2_raw_sd,lambda2_raw_n,lambda2_norm_mean,lambda2_norm_sd,lambda2_norm_n,mincut_mean,mincut_sd,mincut_n,g_eff_mean,g_eff_sd,g_eff_n,neck_p10_nm_mean,neck_p10_nm_sd,neck_p10_nm_n,neck_p25_nm_mean,neck_p25_nm_sd,neck_p25_nm_n,neck_p50_nm_mean,neck_p50_nm_sd,neck_p50_nm_n,n_nodes_mean,n_nodes_sd,n_nodes_n,n_edges_mean,n_edges_sd,n_edges_n,mean_degree_mean,mean_degree_sd,mean_degree_n,chamber_equiv_diam_mean_nm_mean,chamber_equiv_diam_mean_nm_sd,chamber_equiv_diam_mean_nm_n
fine_pre,6,0.4578481927766643,0.33442105236372754,6,0.0009413059899319518,0.0004866489085380599,6,1204.8007032652556,629.7211489462327,6,253.52953749801785,91.9219140145938,6,69.53342873335565,4.62085874307869,6,145.9430087891178,21.950910236762606,6,297.87851000643667,25.123435404632158,6,508.8333333333333,49.61619359308679,6,932.0,147.76197075025766,6,3.64698316989792,0.24140819569035463,6,671.2120394982101,23.95939567484475,6
medium_pre,6,1.2281509362179799,0.8367303829349432,6,0.002101083370951716,0.0018741358460736405,6,1322.6175247610565,1128.452575438421,6,333.9755125264117,240.77380211492715,6,156.88523215355113,42.98265407264617,6,303.77198001474426,52.1172041024711,6,516.759124972547,96.8195754265577,6,165.0,19.503845774615836,6,278.6666666666667,11.843422928641308,6,3.4052137355282124,0.2848865094047528,6,900.5312197655147,76.9607366767328,6
coarse_pre,9,3.5036790900023913,5.904501492828874,9,0.0022950505634880968,0.003619861710740236,9,282.6679336403192,172.18508419534615,9,120.55919855386628,69.41644415875116,9,205.28547419000157,45.020364798263046,9,381.6565670907342,71.82966028359051,9,631.3248030033315,59.16450367198972,9,82.11111111111111,23.687784005919827,9,147.22222222222223,53.445714930613896,9,3.5492314684064263,0.5871403044528041,9,1082.1320986071985,45.745125954679146,9
