mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post,source
base,1.0,4,1.0,5,0.35,1,102,0.3270974264705882,0.2347748161764705,1.0,1.0,1.0,1.0,21.21668198529412,19.080882352941178,1.0,1.0,1.0,1.0,0.8993339470406673,44436,234048,11282,711764,510870,pre-registered
base,1.0,4,1.0,10,0.35,1,100,0.3270974264705882,0.1112536764705882,1.0,0.0,1.0,0.0,21.21668198529412,0.0229779411764705,1.0,1.0,0.0,0.0,0.0010830129420046,44436,491322,22790,711764,242088,pre-registered
base,1.0,4,1.0,10,0.35,1,101,0.3270974264705882,0.1117265625,1.0,0.0,1.0,0.0,21.21668198529412,0.0068933823529411,1.0,1.0,0.0,0.0,0.0003249038826013,44436,490711,22372,711764,243117,pre-registered
base,1.0,4,1.0,10,0.35,1,102,0.3270974264705882,0.1118161764705882,1.0,0.0,1.0,0.0,21.21668198529412,0.0149356617647058,1.0,1.0,0.0,0.0,0.000703958412303,44436,490832,22056,711764,243312,pre-registered
lower_tail,1.5,0,1.333333372807931,2,0.35,1,100,0.3299457720588235,0.3137973345588235,1.0,1.0,1.0,1.0,21.948529411764703,88.18359374999999,1.0,1.0,1.0,1.0,4.017744974874372,47965,82146,958,717962,682823,pre-registered
lower_tail,1.5,0,1.333333372807931,2,0.35,1,101,0.3299457720588235,0.3137909007352941,1.0,1.0,1.0,1.0,21.948529411764703,88.53285845588235,1.0,1.0,1.0,1.0,4.033657872696818,47965,82228,890,717962,682809,pre-registered
lower_tail,1.5,0,1.333333372807931,2,0.35,1,102,0.3299457720588235,0.3139457720588235,1.0,1.0,1.0,1.0,21.948529411764703,88.57996323529412,1.0,1.0,1.0,1.0,4.035804020100503,47965,81873,908,717962,683146,pre-registered
lower_tail,1.5,0,1.333333372807931,5,0.35,1,100,0.3299457720588235,0.2378377757352941,1.0,1.0,1.0,1.0,21.948529411764703,18.778722426470587,1.0,1.0,1.0,1.0,0.8555799832495813,47965,237165,11227,717962,517535,pre-registered
lower_tail,1.5,0,1.333333372807931,5,0.35,1,101,0.3299457720588235,0.238071231617647,1.0,1.0,1.0,1.0,21.948529411764703,19.273897058823525,1.0,1.0,1.0,1.0,0.8781407035175879,47965,236612,11272,717962,518043,pre-registered
lower_tail,1.5,0,1.333333372807931,5,0.35,1,102,0.3299457720588235,0.2378630514705882,1.0,1.0,1.0,1.0,21.948529411764703,18.42830882352941,1.0,1.0,1.0,1.0,0.8396147403685092,47965,237047,11290,717962,517590,pre-registered
lower_tail,1.5,0,1.333333372807931,10,0.35,1,100,0.3299457720588235,0.1130652573529411,1.0,0.0,1.0,0.0,21.948529411764703,0.0068933823529411,1.0,1.0,0.0,0.0,0.0003140703517587,47965,496446,23451,717962,246030,pre-registered
lower_tail,1.5,0,1.333333372807931,10,0.35,1,101,0.3299457720588235,0.1131815257352941,1.0,0.0,1.0,0.0,21.948529411764703,0.0172334558823529,1.0,1.0,0.0,0.0,0.0007851758793969,47965,496326,23318,717962,246283,pre-registered
lower_tail,1.5,0,1.333333372807931,10,0.35,1,102,0.3299457720588235,0.1125822610294117,1.0,0.0,1.0,0.0,21.948529411764703,0.0149356617647058,1.0,1.0,0.0,0.0,0.000680485762144,47965,497383,23565,717962,244979,pre-registered
lower_tail,1.5,1,1.6142746033532454,2,0.35,1,100,0.3248855698529412,0.3080693933823529,1.0,1.0,1.0,1.0,21.49011948529412,89.57261029411764,1.0,1.0,1.0,1.0,4.168083400160385,46418,82074,936,706951,670359,pre-registered
lower_tail,1.5,1,1.6142746033532454,2,0.35,1,101,0.3248855698529412,0.3079333639705882,1.0,1.0,1.0,1.0,21.49011948529412,89.95749080882352,1.0,1.0,1.0,1.0,4.185993049986634,46418,82403,903,706951,670063,pre-registered
lower_tail,1.5,1,1.6142746033532454,2,0.35,1,102,0.3248855698529412,0.3079499080882353,1.0,1.0,1.0,1.0,21.49011948529412,89.8586856617647,1.0,1.0,1.0,1.0,4.181395348837209,46418,82308,962,706951,670099,pre-registered
lower_tail,1.5,1,1.6142746033532454,5,0.35,1,100,0.3248855698529412,0.2319039522058823,1.0,1.0,1.0,1.0,21.49011948529412,19.14522058823529,1.0,1.0,1.0,1.0,0.8908847901630579,46418,237333,11413,706951,504623,pre-registered
lower_tail,1.5,1,1.6142746033532454,5,0.35,1,101,0.3248855698529412,0.2320147058823529,1.0,1.0,1.0,1.0,21.49011948529412,19.289981617647054,1.0,1.0,1.0,1.0,0.8976209569633788,46418,237118,11387,706951,504864,pre-registered
lower_tail,1.5,1,1.6142746033532454,5,0.35,1,102,0.3248855698529412,0.231508731617647,1.0,1.0,1.0,1.0,21.49011948529412,18.731617647058822,1.0,1.0,1.0,1.0,0.8716385993049987,46418,238105,11501,706951,503763,pre-registered
lower_tail,1.5,1,1.6142746033532454,10,0.35,1,100,0.3248855698529412,0.1073768382352941,1.0,0.0,1.0,0.0,21.49011948529412,0.0287224264705882,1.0,1.0,0.0,0.0,0.0013365410318096,46418,496888,22829,706951,233652,pre-registered
lower_tail,1.5,1,1.6142746033532454,10,0.35,1,101,0.3248855698529412,0.1076608455882353,1.0,0.0,1.0,1.0,21.49011948529412,0.0080422794117647,1.0,1.0,0.0,1.0,0.0003742314889067,46418,496540,22559,706951,234270,pre-registered
lower_tail,1.5,1,1.6142746033532454,10,0.35,1,102,0.3248855698529412,0.107297794117647,1.0,0.0,1.0,0.0,21.49011948529412,0.0126378676470588,1.0,1.0,0.0,0.0,0.0005880780539962,46418,496962,22927,706951,233480,pre-registered
lower_tail,1.5,2,1.333333372807931,2,0.35,1,100,0.3169829963235294,0.2987734375,1.0,1.0,1.0,1.0,21.692325367647054,94.04871323529412,1.0,1.0,1.0,1.0,4.335575446215772,43435,82083,976,689755,650131,pre-registered
lower_tail,1.5,2,1.333333372807931,2,0.35,1,101,0.3169829963235294,0.2987683823529412,1.0,1.0,1.0,1.0,21.692325367647054,93.7063419117647,1.0,1.0,1.0,1.0,4.319792383877973,43435,82059,1011,689755,650120,pre-registered
lower_tail,1.5,2,1.333333372807931,2,0.35,1,102,0.3169829963235294,0.2988028492647059,1.0,1.0,1.0,1.0,21.692325367647054,94.26011029411764,1.0,1.0,1.0,1.0,4.345320692759918,43435,82017,978,689755,650195,pre-registered
lower_tail,1.5,2,1.333333372807931,5,0.35,1,100,0.3169829963235294,0.2233579963235294,1.0,1.0,1.0,1.0,21.692325367647054,20.37339154411765,1.0,1.0,1.0,1.0,0.9391981356919656,43435,235663,11500,689755,486027,pre-registered
lower_tail,1.5,2,1.333333372807931,5,0.35,1,101,0.3169829963235294,0.2235303308823529,1.0,1.0,1.0,1.0,21.692325367647054,20.587086397058822,1.0,1.0,1.0,1.0,0.9490493088289816,43435,235456,11332,689755,486402,pre-registered
lower_tail,1.5,2,1.333333372807931,5,0.35,1,102,0.3169829963235294,0.2233897058823529,1.0,1.0,1.0,1.0,21.692325367647054,19.593290441176467,1.0,1.0,1.0,1.0,0.9032360574122132,43435,235594,11500,689755,486096,pre-registered
lower_tail,1.5,2,1.333333372807931,10,0.35,1,100,0.3169829963235294,0.1015114889705882,1.0,0.0,1.0,0.0,21.692325367647054,0.0172334558823529,1.0,1.0,0.0,0.0,0.0007944494465335,43435,486993,25308,689755,220889,pre-registered
