mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
base,1.0,2,1.0,5,0.35,1,102,0.3169315257352941,0.22328400735294118,1.0,1.0,1.0,1.0,21.91061580882353,19.769071691176467,1.0,1.0,1.0,1.0,0.9022599758796076,43569,235719,11627,689643,485866
base,1.0,2,1.0,10,0.35,1,100,0.3169315257352941,0.10161488970588235,1.0,0.0,1.0,0.0,21.91061580882353,0.02068014705882353,1.0,1.0,0.0,0.0,0.0009438414346389807,43569,486817,25281,689643,221114
base,1.0,2,1.0,10,0.35,1,101,0.3169315257352941,0.10162821691176471,1.0,0.0,1.0,0.0,21.91061580882353,0.01723345588235294,1.0,1.0,0.0,0.0,0.0007865345288658171,43569,486591,25478,689643,221143
base,1.0,2,1.0,10,0.35,1,102,0.3169315257352941,0.10158042279411765,1.0,0.0,1.0,0.0,21.91061580882353,0.01953125,1.0,1.0,0.0,0.0,0.0008914057993812595,43569,487116,25057,689643,221039
base,1.0,3,1.0,2,0.35,1,100,0.3268065257352941,0.3097987132352941,1.0,1.0,1.0,1.0,20.99379595588235,89.92761948529412,1.0,1.0,1.0,1.0,4.283533081595797,45679,81738,950,711131,674122
base,1.0,3,1.0,2,0.35,1,101,0.3268065257352941,0.3097169117647059,1.0,1.0,1.0,1.0,20.99379595588235,90.06663602941177,1.0,1.0,1.0,1.0,4.290154873310349,45679,81874,992,711131,673944
base,1.0,3,1.0,2,0.35,1,102,0.3268065257352941,0.30996553308823527,1.0,1.0,1.0,1.0,20.99379595588235,90.12867647058823,1.0,1.0,1.0,1.0,4.293110053083785,45679,81351,974,711131,674485
base,1.0,3,1.0,5,0.35,1,100,0.3268065257352941,0.2343685661764706,1.0,1.0,1.0,1.0,20.99379595588235,18.890165441176467,1.0,1.0,1.0,1.0,0.8997975154599682,45679,235416,11408,711131,509986
base,1.0,3,1.0,5,0.35,1,101,0.3268065257352941,0.23470542279411766,1.0,1.0,1.0,1.0,20.99379595588235,18.879825367647058,1.0,1.0,1.0,1.0,0.8993049854977289,45679,234723,11368,711131,510719
base,1.0,3,1.0,5,0.35,1,102,0.3268065257352941,0.23320726102941178,1.0,1.0,1.0,1.0,20.99379595588235,18.683363970588236,1.0,1.0,1.0,1.0,0.889946916215181,45679,234726,14625,711131,507459
base,1.0,3,1.0,10,0.35,1,100,0.3268065257352941,0.11111994485294117,1.0,0.0,1.0,0.0,20.99379595588235,0.016084558823529414,1.0,1.0,0.0,0.0,0.0007661577190390195,45679,491264,23749,711131,241797
