mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
base,1.0,2,1.0,7,0.35,1,102,0.3169315257352941,0.1712247242647059,1.0,1.0,1.0,1.0,21.91061580882353,2.4827665441176467,1.0,1.0,1.0,1.0,0.11331340779193538,43569,342921,17706,689643,372585
base,1.0,2,1.0,8,0.35,1,100,0.3169315257352941,0.14622426470588235,1.0,1.0,1.0,1.0,21.91061580882353,0.6295955882352942,1.0,1.0,1.0,1.0,0.02873472812123119,43569,394020,21008,689643,318184
base,1.0,2,1.0,8,0.35,1,101,0.3169315257352941,0.14721783088235293,1.0,1.0,1.0,1.0,21.91061580882353,0.590533088235294,1.0,1.0,1.0,1.0,0.02695191652246867,43569,393609,19257,689643,320346
base,1.0,2,1.0,8,0.35,1,102,0.3169315257352941,0.14685661764705882,1.0,1.0,1.0,1.0,21.91061580882353,0.5801930147058822,1.0,1.0,1.0,1.0,0.026479995805149176,43569,394161,19491,689643,319560
base,1.0,3,1.0,6,0.35,1,100,0.3268065257352941,0.2066236213235294,1.0,1.0,1.0,1.0,20.99379595588235,6.861213235294117,1.0,1.0,1.0,1.0,0.32682099272150167,45679,289813,17384,711131,449613
base,1.0,3,1.0,6,0.35,1,101,0.3268065257352941,0.2070482536764706,1.0,1.0,1.0,1.0,20.99379595588235,7.2472426470588225,1.0,1.0,1.0,1.0,0.34520877797843813,45679,288986,17287,711131,450537
base,1.0,3,1.0,6,0.35,1,102,0.3268065257352941,0.20548345588235295,1.0,1.0,1.0,1.0,20.99379595588235,7.184053308823529,1.0,1.0,1.0,1.0,0.342198872653642,45679,289400,20278,711131,447132
base,1.0,3,1.0,7,0.35,1,100,0.3268065257352941,0.17997886029411764,1.0,1.0,1.0,1.0,20.99379595588235,2.1438419117647056,1.0,1.0,1.0,1.0,0.10211787883762928,45679,343538,21638,711131,391634
base,1.0,3,1.0,7,0.35,1,101,0.3268065257352941,0.1805032169117647,1.0,1.0,1.0,1.0,20.99379595588235,2.281709558823529,1.0,1.0,1.0,1.0,0.10868494500082088,45679,342718,21317,711131,392775
base,1.0,3,1.0,7,0.35,1,102,0.3268065257352941,0.18032352941176472,1.0,1.0,1.0,1.0,20.99379595588235,2.302389705882353,1.0,1.0,1.0,1.0,0.10967000492529963,45679,343097,21329,711131,392384
base,1.0,3,1.0,8,0.35,1,100,0.3268065257352941,0.15577251838235295,1.0,1.0,1.0,1.0,20.99379595588235,0.5238970588235293,1.0,1.0,1.0,1.0,0.024954851420128054,45679,395575,22274,711131,338961
base,1.0,3,1.0,8,0.35,1,101,0.3268065257352941,0.15620634191176472,1.0,1.0,1.0,1.0,20.99379595588235,0.5170036764705882,1.0,1.0,1.0,1.0,0.02462649811196848,45679,394922,21983,711131,339905
base,1.0,3,1.0,8,0.35,1,102,0.3268065257352941,0.1557734375,1.0,1.0,1.0,1.0,20.99379595588235,0.5675551470588235,1.0,1.0,1.0,1.0,0.027034422371805394,45679,395573,22274,711131,338963
base,1.0,4,1.0,6,0.35,1,100,0.32709742647058826,0.20795266544117647,1.0,1.0,1.0,1.0,21.216681985294116,7.319623161764706,1.0,1.0,1.0,1.0,0.3449937726755835,44436,288974,14721,711764,452505
base,1.0,4,1.0,6,0.35,1,101,0.32709742647058826,0.2081829044117647,1.0,1.0,1.0,1.0,21.216681985294116,7.597656249999999,1.0,1.0,1.0,1.0,0.35809822927383983,44436,288451,14743,711764,453006
base,1.0,4,1.0,6,0.35,1,102,0.32709742647058826,0.20805147058823528,1.0,1.0,1.0,1.0,21.216681985294116,7.372472426470588,1.0,1.0,1.0,1.0,0.3474847024421942,44436,288565,14915,711764,452720
base,1.0,4,1.0,7,0.35,1,100,0.32709742647058826,0.1820358455882353,1.0,1.0,1.0,1.0,21.216681985294116,2.3000919117647056,1.0,1.0,1.0,1.0,0.10840959549466615,44436,342650,17440,711764,396110
base,1.0,4,1.0,7,0.35,1,101,0.32709742647058826,0.18215027573529413,1.0,1.0,1.0,1.0,21.216681985294116,2.3046874999999996,1.0,1.0,1.0,1.0,0.10862619808306707,44436,342364,17477,711764,396359
base,1.0,4,1.0,7,0.35,1,102,0.32709742647058826,0.18227757352941176,1.0,1.0,1.0,1.0,21.216681985294116,2.4437040441176467,1.0,1.0,1.0,1.0,0.11517842638219526,44436,342234,17330,711764,396636
base,1.0,4,1.0,8,0.35,1,100,0.32709742647058826,0.15640625,1.0,1.0,1.0,1.0,21.216681985294116,0.5813419117647058,1.0,1.0,1.0,1.0,0.027400227432717823,44436,394939,20921,711764,340340
base,1.0,4,1.0,8,0.35,1,101,0.32709742647058826,0.15722288602941176,1.0,1.0,1.0,1.0,21.216681985294116,0.5583639705882353,1.0,1.0,1.0,1.0,0.026317214490713167,44436,394797,19286,711764,342117
base,1.0,4,1.0,8,0.35,1,102,0.32709742647058826,0.15721507352941178,1.0,1.0,1.0,1.0,21.216681985294116,0.5928308823529411,1.0,1.0,1.0,1.0,0.02794173390372015,44436,394750,19350,711764,342100
lower_tail,1.5,0,1.333333372807931,6,0.35,1,100,0.3299457720588235,0.2108377757352941,1.0,1.0,1.0,1.0,21.948529411764703,7.159926470588235,1.0,1.0,1.0,1.0,0.326214405360134,47965,292349,14795,717962,458783
lower_tail,1.5,0,1.333333372807931,6,0.35,1,101,0.3299457720588235,0.21110707720588234,1.0,1.0,1.0,1.0,21.948529411764703,7.511488970588235,1.0,1.0,1.0,1.0,0.3422319932998325,47965,291695,14863,717962,459369
