sample,mask_vox,skel_vox,skel_pct,deg2_pct,deg_ge4_pct,mean_deg,n_branches,med_len_vox,spur_pct,short_pct
fine_pre,21086316,33699,0.1598145451296471,83.12659505015134,9.190456406908423,2.578711534466898,3077,6.652380424503971,42.05394865128372,42.60643483912902
medium_pre,10032636,45424,0.4527623647464136,18.95693906305037,79.22684043677351,6.688182458612188,10106,2.0,50.04947555907382,77.92400554126262
coarse_pre,3258045,46361,1.422969909869262,4.905090595340811,94.48878343399483,7.681111278876642,12441,2.0,50.349650349650354,81.68153685395065
