z,Ni,YSZ,pore
0,0.2089039039039039,0.4298310810810811,0.361265015015015
10,0.23117867867867867,0.40925394144144145,0.35956737987987986
20,0.21605574324324325,0.39875093843843845,0.3851933183183183
30,0.22228134384384385,0.4062209084084084,0.37149774774774774
40,0.22322635135135135,0.4157132132132132,0.3610604354354354
50,0.22181212462462463,0.4135463588588589,0.3646415165165165
60,0.2334009009009009,0.39728885135135134,0.36931024774774773
70,0.24168637387387387,0.37584459459459457,0.38246903153153156
80,0.24719782282282282,0.37148273273273275,0.38131944444444443
90,0.2584328078078078,0.36867398648648647,0.3728932057057057
100,0.2610960960960961,0.37031719219219217,0.3685867117117117
110,0.2519754129129129,0.37124624624624625,0.37677834084084083
120,0.24008258258258258,0.37602665165165167,0.38389076576576575
130,0.22847879129129128,0.37562875375375376,0.39589245495495495
140,0.22041385135135136,0.3871584084084084,0.39242774024024024
150,0.22977383633633633,0.37116741741741743,0.39905874624624627
160,0.2464649024024024,0.35846940690690693,0.3950656906906907
170,0.25491272522522523,0.3517483108108108,0.39333896396396395
180,0.2626041666666667,0.34440784534534535,0.392987987987988
190,0.2584862987987988,0.3465625,0.3949512012012012
200,0.2609769144144144,0.34372935435435437,0.39529373123123124
210,0.2654804804804805,0.3503293918918919,0.3841901276276276
220,0.2735960960960961,0.36103134384384383,0.3653725600600601
230,0.28127815315315313,0.3750065690690691,0.3437152777777778
240,0.28186843093093095,0.3714189189189189,0.3467126501501501
250,0.277621996996997,0.38545420420420423,0.3369237987987988
260,0.26699793543543543,0.39876595345345345,0.3342361111111111
270,0.2604513888888889,0.40208145645645643,0.33746715465465466
280,0.2696612237237237,0.3880142642642643,0.342324512012012
290,0.27978415915915916,0.3811345720720721,0.33908126876876876
300,0.28718186936936935,0.3793121246246246,0.333506006006006
310,0.2768881381381381,0.3858830705705706,0.3372287912912913
320,0.27195758258258257,0.37561467717717717,0.35242774024024026
330,0.26594594594594595,0.3733145645645646,0.3607394894894895
340,0.257134009009009,0.37412912912912916,0.3687368618618619
350,0.2517623873873874,0.3768121246246246,0.37142548798798797
360,0.2558464714714715,0.3813560435435435,0.362797484984985
370,0.25966873123123124,0.38452233483483483,0.3558089339339339
380,0.26415915915915916,0.38902027027027025,0.3468205705705706
390,0.26159534534534534,0.3887490615615616,0.3496555930930931
400,0.2574324324324324,0.37661223723723725,0.36595533033033034
410,0.24660003753753754,0.371082957957958,0.3823170045045045
420,0.22601163663663665,0.3782545045045045,0.39573385885885887
430,0.21222222222222223,0.39346002252252255,0.39431775525525525
440,0.22173517267267268,0.40648836336336336,0.37177646396396397
450,0.22868149399399398,0.41765859609609607,0.3536599099099099
460,0.23411599099099098,0.43567473723723726,0.3302092717717718
470,0.23552364864864864,0.4351764264264264,0.32929992492492494
480,0.23885135135135135,0.4308708708708709,0.3302777777777778
490,0.24579298048048048,0.41423986486486486,0.33996715465465466
500,0.24562687687687687,0.39687124624624626,0.3575018768768769
510,0.2587274774774775,0.3852374249249249,0.3560350975975976
520,0.2640071321321321,0.38357075825825826,0.3524221096096096
530,0.2641835585585586,0.3977167792792793,0.33809966216216214
540,0.25036411411411413,0.41514733483483485,0.3344885510510511
550,0.2372897897897898,0.42094876126126124,0.34176144894894894
560,0.24065690690690691,0.40893111861861864,0.3504119744744745
570,0.24613175675675675,0.38901651651651653,0.3648517267267267
580,0.23540915915915916,0.40587180930930933,0.3587190315315315
590,0.24163006756756758,0.4042164039039039,0.35415352852852855
600,0.25387105855855857,0.40452045795795794,0.3416084834834835
