z,Ni,YSZ,pore
0,0.2310395656429986,0.4101188714609845,0.3588415628960169
10,0.2315773897602841,0.41169155644592165,0.3567310537937943
20,0.2249015411933435,0.40319450451886085,0.37190395428779566
30,0.22590889430191,0.3865636927933465,0.38752741290474346
40,0.22656433780286991,0.3810441186513989,0.3923915435457312
50,0.22293046797338006,0.3767680849287834,0.40030144709783655
60,0.21275070002504154,0.3782658349837989,0.40898346499115956
70,0.20348627647384676,0.39630902785682304,0.4002046956693302
80,0.20753655686328074,0.3969303237947807,0.3955331193419385
90,0.2110964403062657,0.3900609723708274,0.39884258732290695
100,0.20901249041971148,0.3778617554882722,0.4131257540920163
110,0.21292902618738666,0.36264142782343434,0.42442954598917904
120,0.22301299125063553,0.35668552370979123,0.4203014850395732
130,0.22608058066033798,0.36393808667410327,0.40998133266555875
140,0.2254782555907149,0.37318069372671325,0.40134105068257186
150,0.2297656718343312,0.38286627055493583,0.38736805761073295
160,0.24201990423505665,0.3918338000166944,0.366146295748249
170,0.2569016019001222,0.3965584947754229,0.34653990332445495
180,0.253833063947003,0.40764032751307094,0.3385266085399261
190,0.23867534014766925,0.4221226883996934,0.3392019714526373
200,0.22002697657477177,0.4305571364612501,0.34941588696397813
210,0.21561435260014722,0.43308879884050056,0.3512968485593523
220,0.20021190459929733,0.4371068287537657,0.36268126664693695
230,0.20395580546512776,0.43234988351886844,0.3636943110160038
240,0.21373244246135634,0.4252680583695677,0.360999499169076
250,0.22716666287249299,0.41181581563351316,0.3610175214939938
260,0.23493238782525555,0.40673636563692794,0.3583312465378165
270,0.2396134495868145,0.3963270501817409,0.36405950023144457
280,0.24976760686290134,0.37795850691677857,0.3722738862203201
290,0.2584249626273894,0.3693419385192099,0.3722330988534007
300,0.2564349185390914,0.37337229949689255,0.37019278196401606
310,0.24518614216009896,0.37352122081331907,0.381292637026582
320,0.2332003475463079,0.36658926552386156,0.4002103869298306
330,0.21323066299390656,0.36408700799052973,0.4226823290155637
340,0.20767978691920685,0.3579138874344556,0.43440632564633747
350,0.21621288349610338,0.3542278477170457,0.4295592687868509
360,0.2295294845235656,0.34804998444388796,0.4224205310325464
370,0.23625750297842632,0.33846779884808886,0.4252746981734848
380,0.24001373490867425,0.3265000265592157,0.4334862385321101
390,0.23674505429462517,0.3411692504989338,0.422085695206441
400,0.24567843619338145,0.3500542566834369,0.40426730712318165
410,0.256394131172172,0.3532641276056488,0.39034174122217924
420,0.25618829725074177,0.35400588855753107,0.38980581419172716
430,0.24426795213270502,0.3604569323347068,0.39527511553258815
440,0.23299071945121072,0.38968155500413565,0.3773277255446536
450,0.22239074676926113,0.42106601103345703,0.35654324219728184
