z,Ni,YSZ,pore
0,0.3131578136079169,0.4248851620063508,0.2617967136294972
10,0.32552717575608103,0.4344845392607208,0.23980639393285447
20,0.3332960816351697,0.4329030119924777,0.233520362548941
30,0.32383620556771586,0.44226423528686376,0.23373462404044765
40,0.31038782871412274,0.43917979467891605,0.25020809569318986
50,0.30536347381077167,0.4364899651632395,0.25776659370471994
60,0.2980315688873817,0.43558205136109995,0.2660179733020933
70,0.29485078768073497,0.4230300274378025,0.2816112772451213
80,0.29653790424515214,0.4301183833276814,0.27316105065203317
90,0.30743903566914327,0.42626167648056235,0.26591469618028796
100,0.31438634892252676,0.4219163301168419,0.26336590930110676
110,0.30558698399975337,0.4196819989518143,0.27442272713259547
120,0.3023807688750501,0.4289484230970805,0.26854980423590347
130,0.2992192557881432,0.4403959983968924,0.2601566112772451
140,0.2907990874618491,0.4449039676912168,0.2639778647840429
150,0.28567453833585105,0.43938557819773716,0.2748705182353485
160,0.28002897925208864,0.440634923081666,0.27910950457810524
170,0.27816999105959245,0.4376853593118969,0.283716897370287
180,0.2886865308135771,0.42729598914819494,0.28362826401948393
190,0.3065765946295897,0.4155663285753923,0.27751641643801833
200,0.31506844036131576,0.422766439559762,0.2620541357092209
210,0.32966057280266364,0.4233236735826371,0.24684079908746184
220,0.3334224805006628,0.4255695656195086,0.24083454080217037
230,0.3284112279187348,0.43385100348367606,0.2374418102783858
240,0.33084594752905633,0.4359527699848938,0.23289838764374018
250,0.3285730801245491,0.44542266547461234,0.22560193606067144
260,0.3227741468076579,0.4494389123531769,0.22758192804513364
270,0.31640641859604773,0.4497556802416993,0.23371150229675988
280,0.3141844190276536,0.44027345315534727,0.2453664025649721
290,0.30610876468230724,0.43666337824089774,0.25685405555384283
300,0.30698970311681106,0.4299757992416068,0.26256512624472056
310,0.3121643493541326,0.4266046490119308,0.25985217498535623
320,0.31725498658938867,0.42860236766655363,0.25292798347566053
330,0.3179956531121867,0.42949255479853254,0.25092795264666895
340,0.2970612263772852,0.4435760088787496,0.25833076425070134
350,0.2848043900484015,0.45028285599778034,0.26446342140148593
360,0.280521472392638,0.4379127231248266,0.2779803927613528
370,0.29386503067484665,0.431328421247341,0.27419844621882417
380,0.30405092949409623,0.42140148595739435,0.2726485186669544
390,0.3176534513056078,0.41575823904800074,0.2658499552979622
400,0.32315026050497886,0.4078436661836791,0.26731741529734565
410,0.3307704164996763,0.4046335974350279,0.26343989888090763
420,0.3403705644788359,0.3980716465764405,0.26076317168665414
430,0.34629435521164104,0.3979097943706261,0.255115300428523
440,0.35041542066159015,0.3979090236458365,0.24998304405462898
450,0.34855257884514596,0.4063214847242347,0.24268890464592904
460,0.35136803650152604,0.40665675000770724,0.2380684095323242
470,0.36176126028917593,0.40024971483182786,0.23560979745352528
480,0.37057681043253077,0.39222878194654254,0.2348051607731911
490,0.36454588895397233,0.3953717976384992,0.2374117520115917
500,0.3550343743256158,0.40074143724758765,0.2424176095199926
510,0.3513950118691618,0.402919505502975,0.24012316182137683
520,0.3437756265992539,0.4098675894811481,0.23842602583469494
530,0.3379620495113605,0.41286956253660945,0.24322378764990596
540,0.3376260135030983,0.4024401146838487,0.25115994080833615
550,0.3280798162592102,0.41301677097142153,0.24831750778432038
560,0.32191864229121064,0.42033249067423006,0.24943737090359774
570,0.3161767426087493,0.4260181274470512,0.25408021703610073
580,0.33240281160403246,0.40825600394611095,0.2519268119739803
590,0.34003452847057375,0.40814424885162004,0.24384653327989642
600,0.3424669359065265,0.4008632117643432,0.2504215864599069
610,0.34904584271048494,0.3907921509387428,0.2566683108795511
620,0.3460615963251842,0.3906734593211456,0.25959552363042204
630,0.3390549372630021,0.40244088540863826,0.2541511237167432
640,0.3237360113450689,0.4206415513148565,0.24950288251071306
650,0.32377146468539014,0.42292135524247004,0.24653636279557295
660,0.3302301384221722,0.41593165212565897,0.24639840305823596
670,0.3463105404322225,0.407190091562105,0.24176942997194562
680,0.3450689027961895,0.411523106329192,0.23711194006844036
690,0.33608302247433486,0.41503298702099456,0.2419451552239726
700,0.33215309677220456,0.4134414403304868,0.2503213922372599
710,0.3213868421863921,0.415359003606992,0.25993849616179054
720,0.31252427783087217,0.41018204519530166,0.27208897246971053
730,0.31647115947837345,0.4127462465702747,0.2672133674507507
