z,Ni,YSZ,pore
0,0.23454506493167915,0.33195053199911234,0.4335005878601319
10,0.2240303487164683,0.3440256687266676,0.4319369880068903
20,0.20718556477493763,0.3447384769558192,0.44807087132380763
30,0.19183761452780748,0.3406301326484609,0.46752335066921946
40,0.18354780107245527,0.33490541142896746,0.481539157080424
50,0.18262515634408863,0.3364009733870091,0.4809656039825696
60,0.17786886236188149,0.3316891901773627,0.4904400398562175
70,0.17651191966695767,0.32888119629695806,0.494599253617931
80,0.18808980747819132,0.31772743256141056,0.49417004259680936
90,0.19994556968383997,0.3115893970252815,0.4884631256863402
100,0.20458168458013307,0.3201500903250749,0.4752644098857154
110,0.20204011946691355,0.3264737993696003,0.47147654314079457
120,0.20288328067285027,0.32709885778998926,0.47001595393262213
130,0.2002247158146139,0.3133672844549942,0.486406727994033
140,0.1940911313557409,0.31544085058814625,0.4904673821879334
150,0.19247475444360582,0.3199326234077066,0.4875926221486876
160,0.19194189690923555,0.3170241623549505,0.4910333048676345
170,0.19008198248437513,0.3154942635152192,0.4944205746595085
180,0.18941241329142539,0.32131945190706407,0.4892668630651517
190,0.19456358141306443,0.3300155851290781,0.4754201975896781
200,0.2111800886781763,0.3214847776337183,0.46733386195174653
210,0.21737916755953157,0.32323214339081796,0.45938741731329163
220,0.22718807009556463,0.3194309234141289,0.4533771912812299
230,0.23635665337490216,0.30289453553962636,0.4607475393491126
240,0.24198853784019742,0.2960443276425251,0.46195950409912423
250,0.2540878375585714,0.2917674782676153,0.45414086896473665
260,0.26510552550371885,0.28365252856160894,0.4512406741983133
270,0.2707145187145543,0.2965988046949963,0.43268286138137274
280,0.27258778637118297,0.2985197624650829,0.4288905435591958
290,0.2651684764534834,0.3037828433863033,0.4310474084238545
300,0.26014257436319393,0.3045725916651671,0.43528356223528014
310,0.25145725090023036,0.3021397600106317,0.44638772825283135
320,0.24163944620968517,0.3037478706364341,0.4546120472857013
330,0.24243555317034335,0.3065005439852275,0.4510575441626347
340,0.25014227550514956,0.2967406032990113,0.4531126701185831
350,0.25287714454491866,0.28954575484865386,0.45757519300188915
360,0.2451100147330657,0.2935046701338439,0.46138086405583434
370,0.24446079332185802,0.30241445506414955,0.4531247516139924
380,0.24276556875547245,0.3076273023991942,0.44959949842718006
390,0.23922632646871242,0.29537793779047256,0.46539255639991783
400,0.23792915538265594,0.2866112232005407,0.4754570779440856
410,0.23349651830378348,0.2932452359166326,0.47325506643868676
420,0.22936210340106813,0.30177095646655683,0.46886248905511896
430,0.2277145689481405,0.30566946427470015,0.46661087983172383
440,0.21854598566880298,0.30962647195535187,0.47181927608951246
450,0.20478325479301537,0.3066601468982668,0.4885546907041795
460,0.19029944940174343,0.29784892153577425,0.5118478138534057
