sample,folder,grain,state,label_pore,label_YSZ,label_Ni,unassigned_labels,unassigned_frac,Ni_mine,Ni_published,Ni_rel_diff,YSZ_mine,YSZ_published,YSZ_rel_diff,pore_mine,pore_published,pore_rel_diff,worst_rel_diff,gate_pass
fine_pre,3_Rx36_Segmented,fine,pristine,0,100,200,[255],0.0024940853969796254,0.3221497072654764,0.322,0.0004649293958894955,0.4212556906932742,0.421,0.0006073413141904773,0.25410051664426975,0.254,0.0003957348199596205,0.0006073413141904773,True
medium_pre,4_Rx37_Segmented,medium,pristine,0,100,200,[],0.0,0.24966184986215723,0.25,0.001352600551371097,0.38809592225422146,0.388,0.0002472223046944529,0.3622422278836213,0.362,0.0006691378000589131,0.001352600551371097,True
coarse_pre,5_Rx38_Segmented,coarse,pristine,1,3,2,[],0.0,0.22930164689103413,0.229,0.0013172353320267428,0.3837629373833541,0.384,0.0006173505641820601,0.38693541572561174,0.387,0.00016688442994384632,0.0013172353320267428,True
fine_post,6_Rx41-1_Segmented,fine,degraded,0,100,200,[255],4.0248662637838065e-06,0.22156459950422724,0.222,0.0019612634944718857,0.31230122869332455,0.312,0.0009654765811684332,0.46613014693618443,0.466,0.00027928527078198586,0.0019612634944718857,True
medium_post,7_Rx41-2_Segmented,medium,degraded,36,121,194,[255],0.00020170470907350597,0.23323222324186,0.233,0.0009966662740771679,0.37644710698662415,0.376,0.0011891143261280484,0.39011896506244237,0.39,0.00030503862164706536,0.0011891143261280484,True
coarse_post,8_Rx41-3_Segmented,coarse,degraded,0,76,150,[],0.0,0.24385081440820866,0.244,0.0006114163598005504,0.32433451906863275,0.324,0.001032466261212172,0.4318146665231586,0.432,0.000429012677873633,0.001032466261212172,True
