group,n_removed,frac_of_n8,rem_p10,rem_p50,rem_p90,rem_mean,all_p10,all_p50,all_p90,all_mean
base,83020,0.1730495448642722,20.0,20.0,20.0,20.004290817437255,20.0,28.284271247461902,74.83314773547883,38.36213724862224
high_2.00x,86174,0.18292004703864556,20.0,20.0,20.0,20.0224608257283,20.0,28.284271247461902,72.11102550927978,36.953566071676796
