seed,phi_Ni,phi_Ni_recorded_qual,phi_Ni_delta_vs_qual,phi_YSZ,phi_pore,ysz_share_of_rest,P_span_before,P_span_after,tpb_density,ni_phase_preserved
0,0.25024207405529497,0.2502099442261377,3.2129829157290235e-05,0.38787481866452583,0.36188310728017914,0.5173334022121853,1.0,1.0,20.168069815918088,True
1,0.24927685877663694,0.2492425282742496,3.4330502387353024e-05,0.38837415142040255,0.36234898980296054,0.5173333950882558,1.0,1.0,19.98321326460191,True
2,0.24746856558358332,0.247434455148519,3.4110435064321765e-05,0.3893096576104562,0.36322177680596046,0.5173334159952578,1.0,1.0,20.484966761031536,True
3,0.24795249362685032,0.2479227845382459,2.9709088604418232e-05,0.3890592209968874,0.3629882853762623,0.5173333036807446,1.0,1.0,20.08664490640977,True
4,0.25615044154307687,0.2561187518485655,3.168969451139425e-05,0.384818083548119,0.3590314749088041,0.5173332149936393,1.0,1.0,19.426993105730908,True
